team,date,a/h,opponent,w/l,s,os
cle,"Tue, Oct 27",@,Chicago,L,95,97
cle,"Wed, Oct 28",@,Memphis,W,106,76
cle,"Fri, Oct 30",vs,Miami,W,102,92
cle,"Mon, Nov 2",@,Philadelphia,W,107,100
cle,"Wed, Nov 4",vs,NY Knicks,W,96,86
cle,"Fri, Nov 6",vs,Philadelphia,W,108,102
cle,"Sun, Nov 8",vs,Indiana,W,101,97
cle,"Tue, Nov 10",vs,Utah,W,118,114
cle,"Fri, Nov 13",@,NY Knicks,W,90,84
cle,"Sat, Nov 14",@,Milwaukee,L,105,108
cle,"Tue, Nov 17",@,Detroit,L,99,104
cle,"Thu, Nov 19",vs,Milwaukee,W,115,100
cle,"Sat, Nov 21",vs,Atlanta,W,109,97
cle,"Mon, Nov 23",vs,Orlando,W,117,103
cle,"Wed, Nov 25",@,Toronto,L,99,103
cle,"Fri, Nov 27",@,Charlotte,W,95,90
cle,"Sat, Nov 28",vs,Brooklyn,W,90,88
cle,"Tue, Dec 1",vs,Washington,L,85,97
cle,"Fri, Dec 4",@,New Orleans,L,108,114
cle,"Sat, Dec 5",@,Miami,L,84,99
cle,"Tue, Dec 8",vs,Portland,W,105,100
cle,"Fri, Dec 11",@,Orlando,W,111,76
cle,"Tue, Dec 15",@,Boston,W,89,77
cle,"Thu, Dec 17",vs,Oklahoma City,W,104,100
cle,"Sun, Dec 20",vs,Philadelphia,W,108,86
cle,"Wed, Dec 23",vs,NY Knicks,W,91,84
cle,"Fri, Dec 25",@,Golden State,L,83,89
cle,"Sat, Dec 26",@,Portland,L,76,105
cle,"Mon, Dec 28",@,Phoenix,W,101,97
cle,"Tue, Dec 29",@,Denver,W,93,87
cle,"Sat, Jan 2",vs,Orlando,W,104,79
cle,"Mon, Jan 4",vs,Toronto,W,122,100
cle,"Wed, Jan 6",@,Washington,W,121,115
cle,"Fri, Jan 8",@,Minnesota,W,125,99
cle,"Sun, Jan 10",@,Philadelphia,W,95,85
cle,"Tue, Jan 12",@,Dallas,W,110,107
cle,"Thu, Jan 14",@,San Antonio,L,95,99
cle,"Fri, Jan 15",@,Houston,W,91,77
cle,"Mon, Jan 18",vs,Golden State,L,98,132
cle,"Wed, Jan 20",@,Brooklyn,W,91,78
cle,"Thu, Jan 21",vs,Los Angeles,W,115,102
cle,"Sat, Jan 23",vs,Chicago,L,83,96
cle,"Mon, Jan 25",vs,Minnesota,W,114,107
cle,"Wed, Jan 27",vs,Phoenix,W,115,93
cle,"Fri, Jan 29",@,Detroit,W,114,106
cle,"Sat, Jan 30",vs,San Antonio,W,117,103
cle,"Mon, Feb 1",@,Indiana,W,111,106
cle,"Wed, Feb 3",@,Charlotte,L,97,106
cle,"Fri, Feb 5",vs,Boston,L,103,104
cle,"Sat, Feb 6",vs,New Orleans,W,99,84
cle,"Mon, Feb 8",vs,Sacramento,W,120,100
cle,"Wed, Feb 10",vs,Los Angeles,W,120,111
cle,"Thu, Feb 18",vs,Chicago,W,106,95
cle,"Sun, Feb 21",@,Oklahoma City,W,115,92
cle,"Mon, Feb 22",vs,Detroit,L,88,96
cle,"Wed, Feb 24",vs,Charlotte,L,88,96
cle,"Fri, Feb 26",@,Toronto,L,88,96
cle,"Sun, Feb 28",@,Washington,L,88,96
cle,"Mon, Feb 29",vs,Indiana,L,88,96
cle,"Fri, Mar 4",vs,Washington,L,88,96
cle,"Sat, Mar 5",vs,Boston,L,88,96
cle,"Mon, Mar 7",vs,Memphis,L,88,96
cle,"Wed, Mar 9",@,Sacramento,L,88,96
cle,"Thu, Mar 10",@,Los Angeles,L,88,96
cle,"Sun, Mar 13",@,Los Angeles,L,88,96
cle,"Mon, Mar 14",@,Utah,L,88,96
cle,"Wed, Mar 16",vs,Dallas,L,88,96
cle,"Fri, Mar 18",@,Orlando,L,88,96
cle,"Sat, Mar 19",@,Miami,L,88,96
cle,"Mon, Mar 21",vs,Denver,L,88,96
cle,"Wed, Mar 23",vs,Milwaukee,L,88,96
cle,"Thu, Mar 24",@,Brooklyn,L,88,96
cle,"Sat, Mar 26",@,NY Knicks,L,88,96
cle,"Tue, Mar 29",vs,Houston,L,88,96
cle,"Thu, Mar 31",vs,Brooklyn,L,88,96
cle,"Fri, Apr 1",@,Atlanta,L,88,96
cle,"Sun, Apr 3",vs,Charlotte,L,88,96
cle,"Tue, Apr 5",@,Milwaukee,L,88,96
cle,"Wed, Apr 6",@,Indiana,L,88,96
cle,"Sat, Apr 9",@,Chicago,L,88,96
cle,"Mon, Apr 11",vs,Atlanta,L,88,96
cle,"Wed, Apr 13",vs,Detroit,L,88,96
