team,date,a/h,opponent,w/l,s,os
mia,"Wed, Oct 28",vs,Charlotte,W,104,94
mia,"Fri, Oct 30",@,Cleveland,L,92,102
mia,"Sun, Nov 1",vs,Houston,W,109,89
mia,"Tue, Nov 3",vs,Atlanta,L,92,98
mia,"Thu, Nov 5",@,Minnesota,W,96,84
mia,"Fri, Nov 6",@,Indiana,L,87,90
mia,"Sun, Nov 8",vs,Toronto,W,96,76
mia,"Tue, Nov 10",vs,Los Angeles,W,101,88
mia,"Thu, Nov 12",vs,Utah,W,92,91
mia,"Tue, Nov 17",vs,Minnesota,L,91,103
mia,"Thu, Nov 19",vs,Sacramento,W,116,109
mia,"Sat, Nov 21",vs,Philadelphia,W,96,91
mia,"Mon, Nov 23",vs,NY Knicks,W,95,78
mia,"Wed, Nov 25",@,Detroit,L,81,104
mia,"Fri, Nov 27",@,NY Knicks,W,97,78
mia,"Mon, Nov 30",vs,Boston,L,95,105
mia,"Thu, Dec 3",vs,Oklahoma City,W,97,95
mia,"Sat, Dec 5",vs,Cleveland,W,99,84
mia,"Mon, Dec 7",vs,Washington,L,103,114
mia,"Wed, Dec 9",@,Charlotte,L,81,99
mia,"Fri, Dec 11",@,Indiana,L,83,96
mia,"Sun, Dec 13",vs,Memphis,W,100,97
mia,"Mon, Dec 14",@,Atlanta,W,100,88
mia,"Wed, Dec 16",@,Brooklyn,W,104,98
mia,"Fri, Dec 18",vs,Toronto,L,94,108
mia,"Sun, Dec 20",vs,Portland,W,116,109
mia,"Tue, Dec 22",vs,Detroit,L,92,93
mia,"Fri, Dec 25",vs,New Orleans,W,94,88
mia,"Sat, Dec 26",@,Orlando,W,108,101
mia,"Mon, Dec 28",vs,Brooklyn,L,105,111
mia,"Tue, Dec 29",@,Memphis,L,90,99
mia,"Fri, Jan 1",vs,Dallas,W,106,82
mia,"Sun, Jan 3",@,Washington,W,97,75
mia,"Mon, Jan 4",vs,Indiana,W,103,100
mia,"Wed, Jan 6",vs,NY Knicks,L,90,98
mia,"Fri, Jan 8",@,Phoenix,W,103,95
mia,"Sat, Jan 9",@,Utah,L,83,98
mia,"Mon, Jan 11",@,Golden State,L,103,111
mia,"Wed, Jan 13",@,Los Angeles,L,90,104
mia,"Fri, Jan 15",@,Denver,W,98,95
mia,"Sun, Jan 17",@,Oklahoma City,L,74,99
mia,"Tue, Jan 19",vs,Milwaukee,L,79,91
mia,"Wed, Jan 20",@,Washington,L,87,106
mia,"Fri, Jan 22",@,Toronto,L,81,101
mia,"Mon, Jan 25",@,Chicago,W,89,84
mia,"Tue, Jan 26",@,Brooklyn,W,102,98
mia,"Fri, Jan 29",@,Milwaukee,W,107,103
mia,"Sun, Jan 31",vs,Atlanta,W,105,87
mia,"Tue, Feb 2",@,Houston,L,102,115
mia,"Wed, Feb 3",@,Dallas,W,93,90
mia,"Fri, Feb 5",@,Charlotte,W,98,95
mia,"Sun, Feb 7",vs,Los Angeles,L,93,100
mia,"Tue, Feb 9",vs,San Antonio,L,101,119
mia,"Fri, Feb 19",@,Atlanta,W,115,111
mia,"Sat, Feb 20",vs,Washington,W,114,94
mia,"Mon, Feb 22",vs,Indiana,W,101,93
mia,"Wed, Feb 24",vs,Golden State,W,101,93
mia,"Sat, Feb 27",@,Boston,W,101,93
mia,"Sun, Feb 28",@,NY Knicks,W,101,93
mia,"Tue, Mar 1",vs,Chicago,W,101,93
mia,"Thu, Mar 3",vs,Phoenix,W,101,93
mia,"Fri, Mar 4",@,Philadelphia,W,101,93
mia,"Sun, Mar 6",vs,Philadelphia,W,101,93
mia,"Wed, Mar 9",@,Milwaukee,W,101,93
mia,"Fri, Mar 11",@,Chicago,W,101,93
mia,"Sat, Mar 12",@,Toronto,W,101,93
mia,"Mon, Mar 14",vs,Denver,W,101,93
mia,"Thu, Mar 17",vs,Charlotte,W,101,93
mia,"Sat, Mar 19",vs,Cleveland,W,101,93
mia,"Tue, Mar 22",@,New Orleans,W,101,93
mia,"Wed, Mar 23",@,San Antonio,W,101,93
mia,"Fri, Mar 25",vs,Orlando,W,101,93
mia,"Mon, Mar 28",vs,Brooklyn,W,101,93
mia,"Wed, Mar 30",@,Los Angeles,W,101,93
mia,"Fri, Apr 1",@,Sacramento,W,101,93
mia,"Sat, Apr 2",@,Portland,W,101,93
mia,"Tue, Apr 5",vs,Detroit,W,101,93
mia,"Thu, Apr 7",vs,Chicago,W,101,93
mia,"Fri, Apr 8",@,Orlando,W,101,93
mia,"Sun, Apr 10",vs,Orlando,W,101,93
mia,"Tue, Apr 12",@,Detroit,W,101,93
mia,"Wed, Apr 13",@,Boston,W,101,93
