team,date,a/h,opponent,w/l,s,os
mil,"Wed, Oct 28",vs,NY Knicks,L,97,122
mil,"Fri, Oct 30",vs,Washington,L,113,118
mil,"Sun, Nov 1",@,Toronto,L,87,106
mil,"Mon, Nov 2",@,Brooklyn,W,103,96
mil,"Wed, Nov 4",vs,Philadelphia,W,91,87
mil,"Fri, Nov 6",@,NY Knicks,W,99,92
mil,"Sat, Nov 7",vs,Brooklyn,W,94,86
mil,"Tue, Nov 10",vs,Boston,L,83,99
mil,"Wed, Nov 11",@,Denver,L,102,103
mil,"Sat, Nov 14",vs,Cleveland,W,108,105
mil,"Tue, Nov 17",@,Washington,L,86,115
mil,"Thu, Nov 19",@,Cleveland,L,100,115
mil,"Sat, Nov 21",@,Indiana,L,86,123
mil,"Mon, Nov 23",vs,Detroit,W,109,88
mil,"Wed, Nov 25",vs,Sacramento,L,118,129
mil,"Fri, Nov 27",@,Orlando,L,90,114
mil,"Sun, Nov 29",@,Charlotte,L,82,87
mil,"Mon, Nov 30",vs,Denver,W,92,74
mil,"Wed, Dec 2",@,San Antonio,L,70,95
mil,"Fri, Dec 4",@,Detroit,L,95,102
mil,"Sat, Dec 5",vs,NY Knicks,W,106,91
mil,"Mon, Dec 7",vs,Portland,W,90,88
mil,"Wed, Dec 9",vs,Los Angeles,L,95,109
mil,"Fri, Dec 11",@,Toronto,L,83,90
mil,"Sat, Dec 12",vs,Golden State,W,108,95
mil,"Tue, Dec 15",@,Los Angeles,L,95,113
mil,"Wed, Dec 16",@,Los Angeles,L,90,103
mil,"Fri, Dec 18",@,Golden State,L,112,121
mil,"Sun, Dec 20",@,Phoenix,W,101,95
mil,"Wed, Dec 23",vs,Philadelphia,W,113,100
mil,"Sat, Dec 26",vs,Toronto,L,90,111
mil,"Mon, Dec 28",@,Dallas,L,93,103
mil,"Tue, Dec 29",@,Oklahoma City,L,123,131
mil,"Thu, Dec 31",@,Indiana,W,120,116
mil,"Sat, Jan 2",@,Minnesota,W,95,85
mil,"Mon, Jan 4",vs,San Antonio,L,98,123
mil,"Tue, Jan 5",@,Chicago,L,106,117
mil,"Fri, Jan 8",vs,Dallas,W,96,95
mil,"Sun, Jan 10",@,NY Knicks,L,88,100
mil,"Tue, Jan 12",vs,Chicago,W,106,101
mil,"Wed, Jan 13",@,Washington,L,101,106
mil,"Fri, Jan 15",vs,Atlanta,W,108,101
mil,"Sat, Jan 16",@,Charlotte,W,105,92
mil,"Tue, Jan 19",@,Miami,W,91,79
mil,"Fri, Jan 22",@,Houston,L,98,102
mil,"Sat, Jan 23",@,New Orleans,L,99,116
mil,"Tue, Jan 26",vs,Orlando,W,107,100
mil,"Thu, Jan 28",@,Memphis,L,83,103
mil,"Fri, Jan 29",vs,Miami,L,103,107
mil,"Mon, Feb 1",@,Sacramento,L,104,111
mil,"Tue, Feb 2",@,Portland,L,95,107
mil,"Fri, Feb 5",@,Utah,L,81,84
mil,"Tue, Feb 9",vs,Boston,W,112,111
mil,"Thu, Feb 11",vs,Washington,W,99,92
mil,"Fri, Feb 19",vs,Charlotte,L,95,98
mil,"Sat, Feb 20",@,Atlanta,W,117,109
mil,"Mon, Feb 22",vs,Los Angeles,W,108,101
mil,"Thu, Feb 25",@,Boston,W,108,101
mil,"Sat, Feb 27",vs,Detroit,W,108,101
mil,"Mon, Feb 29",vs,Houston,W,108,101
mil,"Wed, Mar 2",vs,Indiana,W,108,101
mil,"Fri, Mar 4",vs,Minnesota,W,108,101
mil,"Sun, Mar 6",vs,Oklahoma City,W,108,101
mil,"Mon, Mar 7",@,Chicago,W,108,101
mil,"Wed, Mar 9",vs,Miami,W,108,101
mil,"Sat, Mar 12",vs,New Orleans,W,108,101
mil,"Sun, Mar 13",@,Brooklyn,W,108,101
mil,"Tue, Mar 15",vs,Toronto,W,108,101
mil,"Thu, Mar 17",vs,Memphis,W,108,101
mil,"Sun, Mar 20",vs,Utah,W,108,101
mil,"Mon, Mar 21",@,Detroit,W,108,101
mil,"Wed, Mar 23",@,Cleveland,W,108,101
mil,"Fri, Mar 25",@,Atlanta,W,108,101
mil,"Sat, Mar 26",vs,Charlotte,W,108,101
mil,"Wed, Mar 30",vs,Phoenix,W,108,101
mil,"Fri, Apr 1",vs,Orlando,W,108,101
mil,"Sun, Apr 3",vs,Chicago,W,108,101
mil,"Tue, Apr 5",vs,Cleveland,W,108,101
mil,"Fri, Apr 8",@,Boston,W,108,101
mil,"Sun, Apr 10",@,Philadelphia,W,108,101
mil,"Mon, Apr 11",@,Orlando,W,108,101
mil,"Wed, Apr 13",vs,Indiana,W,108,101
