team,date,a/h,opponent,w/l,s,os
min,"Wed, Oct 28",@,Los Angeles,W,112,111
min,"Fri, Oct 30",@,Denver,W,95,78
min,"Mon, Nov 2",vs,Portland,L,101,106
min,"Thu, Nov 5",vs,Miami,L,84,96
min,"Sat, Nov 7",@,Chicago,W,102,93
min,"Mon, Nov 9",@,Atlanta,W,117,107
min,"Tue, Nov 10",vs,Charlotte,L,95,104
min,"Thu, Nov 12",vs,Golden State,L,116,129
min,"Fri, Nov 13",@,Indiana,L,103,107
min,"Sun, Nov 15",vs,Memphis,L,106,114
min,"Tue, Nov 17",@,Miami,W,103,91
min,"Wed, Nov 18",@,Orlando,L,101,104
min,"Fri, Nov 20",vs,Detroit,L,86,96
min,"Mon, Nov 23",vs,Philadelphia,W,100,95
min,"Wed, Nov 25",vs,Atlanta,W,99,95
min,"Fri, Nov 27",@,Sacramento,W,101,91
min,"Sun, Nov 29",@,Los Angeles,L,99,107
min,"Tue, Dec 1",vs,Orlando,L,93,96
min,"Sat, Dec 5",vs,Portland,L,103,109
min,"Mon, Dec 7",vs,Los Angeles,L,106,110
min,"Wed, Dec 9",vs,Los Angeles,W,123,122
min,"Fri, Dec 11",@,Denver,L,108,111
min,"Sun, Dec 13",@,Phoenix,L,101,108
min,"Tue, Dec 15",vs,Denver,L,100,112
min,"Wed, Dec 16",@,NY Knicks,L,102,107
min,"Fri, Dec 18",vs,Sacramento,W,99,95
min,"Sun, Dec 20",@,Brooklyn,W,100,85
min,"Mon, Dec 21",@,Boston,L,99,113
min,"Wed, Dec 23",vs,San Antonio,L,83,108
min,"Sat, Dec 26",vs,Indiana,L,88,102
min,"Mon, Dec 28",@,San Antonio,L,95,101
min,"Wed, Dec 30",vs,Utah,W,94,80
min,"Thu, Dec 31",@,Detroit,L,90,115
min,"Sat, Jan 2",vs,Milwaukee,L,85,95
min,"Mon, Jan 4",@,Philadelphia,L,99,109
min,"Wed, Jan 6",vs,Denver,L,74,78
min,"Fri, Jan 8",vs,Cleveland,L,99,125
min,"Sun, Jan 10",vs,Dallas,L,87,93
min,"Tue, Jan 12",vs,Oklahoma City,L,96,101
min,"Wed, Jan 13",@,Houston,L,104,107
min,"Fri, Jan 15",@,Oklahoma City,L,93,113
min,"Sun, Jan 17",vs,Phoenix,W,117,87
min,"Tue, Jan 19",@,New Orleans,L,99,114
min,"Wed, Jan 20",@,Dallas,L,94,106
min,"Sat, Jan 23",vs,Memphis,W,106,101
min,"Mon, Jan 25",@,Cleveland,L,107,114
min,"Wed, Jan 27",vs,Oklahoma City,L,123,126
min,"Fri, Jan 29",@,Utah,L,90,103
min,"Sun, Jan 31",@,Portland,L,93,96
min,"Tue, Feb 2",@,Los Angeles,L,115,119
min,"Wed, Feb 3",@,Los Angeles,W,108,102
min,"Sat, Feb 6",vs,Chicago,W,112,105
min,"Mon, Feb 8",vs,New Orleans,L,102,116
min,"Wed, Feb 10",vs,Toronto,W,117,112
min,"Fri, Feb 19",@,Memphis,L,104,109
min,"Sat, Feb 20",vs,NY Knicks,L,95,103
min,"Mon, Feb 22",vs,Boston,W,124,122
min,"Wed, Feb 24",@,Toronto,W,124,122
min,"Sat, Feb 27",@,New Orleans,W,124,122
min,"Sun, Feb 28",@,Dallas,W,124,122
min,"Wed, Mar 2",vs,Washington,W,124,122
min,"Fri, Mar 4",@,Milwaukee,W,124,122
min,"Sat, Mar 5",vs,Brooklyn,W,124,122
min,"Mon, Mar 7",@,Charlotte,W,124,122
min,"Tue, Mar 8",vs,San Antonio,W,124,122
min,"Fri, Mar 11",@,Oklahoma City,W,124,122
min,"Mon, Mar 14",@,Phoenix,W,124,122
min,"Wed, Mar 16",@,Memphis,W,124,122
min,"Fri, Mar 18",@,Houston,W,124,122
min,"Mon, Mar 21",vs,Golden State,W,124,122
min,"Wed, Mar 23",vs,Sacramento,W,124,122
min,"Fri, Mar 25",@,Washington,W,124,122
min,"Sat, Mar 26",vs,Utah,W,124,122
min,"Mon, Mar 28",vs,Phoenix,W,124,122
min,"Wed, Mar 30",vs,Los Angeles,W,124,122
min,"Fri, Apr 1",@,Utah,W,124,122
min,"Sun, Apr 3",vs,Dallas,W,124,122
min,"Tue, Apr 5",@,Golden State,W,124,122
min,"Thu, Apr 7",@,Sacramento,W,124,122
min,"Sat, Apr 9",@,Portland,W,124,122
min,"Mon, Apr 11",vs,Houston,W,124,122
min,"Wed, Apr 13",vs,New Orleans,W,124,122
