team,date,a/h,opponent,w/l,s,os
no,"Tue, Oct 27",@,Golden State,L,95,111
no,"Wed, Oct 28",@,Portland,L,94,112
no,"Sat, Oct 31",vs,Golden State,L,120,134
no,"Tue, Nov 3",vs,Orlando,L,94,103
no,"Fri, Nov 6",vs,Atlanta,L,115,121
no,"Sat, Nov 7",@,Dallas,L,98,107
no,"Tue, Nov 10",vs,Dallas,W,120,105
no,"Wed, Nov 11",@,Atlanta,L,98,106
no,"Fri, Nov 13",@,Toronto,L,81,100
no,"Sun, Nov 15",@,NY Knicks,L,87,95
no,"Tue, Nov 17",vs,Denver,L,98,115
no,"Wed, Nov 18",@,Oklahoma City,L,103,110
no,"Fri, Nov 20",vs,San Antonio,W,104,90
no,"Sun, Nov 22",vs,Phoenix,W,122,116
no,"Wed, Nov 25",@,Phoenix,W,120,114
no,"Fri, Nov 27",@,Los Angeles,L,90,111
no,"Sat, Nov 28",@,Utah,L,87,101
no,"Tue, Dec 1",vs,Memphis,L,104,113
no,"Wed, Dec 2",@,Houston,L,101,108
no,"Fri, Dec 4",vs,Cleveland,W,114,108
no,"Mon, Dec 7",vs,Boston,L,93,111
no,"Fri, Dec 11",vs,Washington,W,107,105
no,"Sat, Dec 12",@,Chicago,L,94,98
no,"Mon, Dec 14",@,Portland,L,101,105
no,"Wed, Dec 16",@,Utah,W,104,94
no,"Fri, Dec 18",@,Phoenix,L,88,104
no,"Sun, Dec 20",@,Denver,W,130,125
no,"Wed, Dec 23",vs,Portland,W,115,89
no,"Fri, Dec 25",@,Miami,L,88,94
no,"Sat, Dec 26",vs,Houston,W,110,108
no,"Mon, Dec 28",@,Orlando,L,89,104
no,"Thu, Dec 31",vs,Los Angeles,L,89,95
no,"Sat, Jan 2",@,Dallas,W,105,98
no,"Wed, Jan 6",vs,Dallas,L,91,100
no,"Fri, Jan 8",vs,Indiana,L,86,91
no,"Sun, Jan 10",@,Los Angeles,L,111,114
no,"Tue, Jan 12",@,Los Angeles,L,91,95
no,"Wed, Jan 13",@,Sacramento,W,109,97
no,"Fri, Jan 15",vs,Charlotte,W,109,107
no,"Mon, Jan 18",@,Memphis,L,99,101
no,"Tue, Jan 19",vs,Minnesota,W,114,99
no,"Thu, Jan 21",vs,Detroit,W,115,99
no,"Sat, Jan 23",vs,Milwaukee,W,116,99
no,"Mon, Jan 25",vs,Houston,L,111,112
no,"Thu, Jan 28",vs,Sacramento,W,114,105
no,"Sat, Jan 30",vs,Brooklyn,W,105,103
no,"Mon, Feb 1",vs,Memphis,L,95,110
no,"Wed, Feb 3",@,San Antonio,L,97,110
no,"Thu, Feb 4",vs,Los Angeles,L,96,99
no,"Sat, Feb 6",@,Cleveland,L,84,99
no,"Mon, Feb 8",@,Minnesota,W,116,102
no,"Wed, Feb 10",vs,Utah,W,100,96
no,"Thu, Feb 11",@,Oklahoma City,L,95,121
no,"Fri, Feb 19",vs,Philadelphia,W,121,114
no,"Sun, Feb 21",@,Detroit,W,111,106
no,"Tue, Feb 23",,,,,
no,"Thu, Feb 25",vs,Oklahoma City,,,
no,"Sat, Feb 27",vs,Minnesota,,,
no,"Wed, Mar 2",@,Houston,,,
no,"Thu, Mar 3",vs,San Antonio,,,
no,"Sat, Mar 5",vs,Utah,,,
no,"Mon, Mar 7",vs,Sacramento,,,
no,"Wed, Mar 9",@,Charlotte,,,
no,"Fri, Mar 11",@,Memphis,,,
no,"Sat, Mar 12",@,Milwaukee,,,
no,"Mon, Mar 14",@,Golden State,,,
no,"Wed, Mar 16",@,Sacramento,,,
no,"Fri, Mar 18",vs,Portland,,,
no,"Sun, Mar 20",vs,Los Angeles,,,
no,"Tue, Mar 22",vs,Miami,,,
no,"Thu, Mar 24",@,Indiana,,,
no,"Sat, Mar 26",vs,Toronto,,,
no,"Mon, Mar 28",vs,NY Knicks,,,
no,"Wed, Mar 30",@,San Antonio,,,
no,"Thu, Mar 31",vs,Denver,,,
no,"Sun, Apr 3",@,Brooklyn,,,
no,"Tue, Apr 5",@,Philadelphia,,,
no,"Wed, Apr 6",@,Boston,,,
no,"Fri, Apr 8",vs,Los Angeles,,,
no,"Sat, Apr 9",vs,Phoenix,,,
no,"Mon, Apr 11",vs,Chicago,,,
no,"Wed, Apr 13",@,Minnesota,,,
