team,date,a/h,opponent,w/l,s,os
okc,"Wed, Oct 28",vs,San Antonio,W,112,106
okc,"Fri, Oct 30",@,Orlando,W,139,136
okc,"Sun, Nov 1",vs,Denver,W,117,93
okc,"Mon, Nov 2",@,Houston,L,105,110
okc,"Wed, Nov 4",vs,Toronto,L,98,103
okc,"Thu, Nov 5",@,Chicago,L,98,104
okc,"Sun, Nov 8",vs,Phoenix,W,124,103
okc,"Tue, Nov 10",@,Washington,W,125,101
okc,"Fri, Nov 13",vs,Philadelphia,W,102,85
okc,"Sun, Nov 15",vs,Boston,L,85,100
okc,"Mon, Nov 16",@,Memphis,L,114,122
okc,"Wed, Nov 18",vs,New Orleans,W,110,103
okc,"Fri, Nov 20",vs,NY Knicks,L,90,93
okc,"Sun, Nov 22",vs,Dallas,W,117,114
okc,"Mon, Nov 23",@,Utah,W,111,89
okc,"Wed, Nov 25",vs,Brooklyn,W,110,99
okc,"Fri, Nov 27",vs,Detroit,W,103,87
okc,"Mon, Nov 30",@,Atlanta,L,100,106
okc,"Thu, Dec 3",@,Miami,L,95,97
okc,"Sun, Dec 6",vs,Sacramento,W,98,95
okc,"Tue, Dec 8",@,Memphis,W,125,88
okc,"Thu, Dec 10",vs,Atlanta,W,107,94
okc,"Fri, Dec 11",@,Utah,W,94,90
okc,"Sun, Dec 13",vs,Utah,W,104,98
okc,"Wed, Dec 16",vs,Portland,W,106,90
okc,"Thu, Dec 17",@,Cleveland,L,100,104
okc,"Sat, Dec 19",vs,Los Angeles,W,118,78
okc,"Mon, Dec 21",@,Los Angeles,W,100,99
okc,"Wed, Dec 23",@,Los Angeles,W,120,85
okc,"Fri, Dec 25",vs,Chicago,L,96,105
okc,"Sun, Dec 27",vs,Denver,W,122,112
okc,"Tue, Dec 29",vs,Milwaukee,W,131,123
okc,"Thu, Dec 31",vs,Phoenix,W,110,106
okc,"Sat, Jan 2",@,Charlotte,W,109,90
okc,"Mon, Jan 4",vs,Sacramento,L,104,116
okc,"Wed, Jan 6",vs,Memphis,W,112,94
okc,"Fri, Jan 8",@,Los Angeles,W,117,113
okc,"Sun, Jan 10",@,Portland,L,110,115
okc,"Tue, Jan 12",@,Minnesota,W,101,96
okc,"Wed, Jan 13",vs,Dallas,W,108,89
okc,"Fri, Jan 15",vs,Minnesota,W,113,93
okc,"Sun, Jan 17",vs,Miami,W,99,74
okc,"Tue, Jan 19",@,Denver,W,110,104
okc,"Wed, Jan 20",vs,Charlotte,W,109,95
okc,"Fri, Jan 22",@,Dallas,W,109,106
okc,"Sun, Jan 24",@,Brooklyn,L,106,116
okc,"Tue, Jan 26",@,NY Knicks,W,128,122
okc,"Wed, Jan 27",@,Minnesota,W,126,123
okc,"Fri, Jan 29",vs,Houston,W,116,108
okc,"Mon, Feb 1",vs,Washington,W,114,98
okc,"Wed, Feb 3",vs,Orlando,W,117,114
okc,"Sat, Feb 6",@,Golden State,L,108,116
okc,"Mon, Feb 8",@,Phoenix,W,122,106
okc,"Thu, Feb 11",vs,New Orleans,W,121,95
okc,"Fri, Feb 19",vs,Indiana,L,98,101
okc,"Sun, Feb 21",vs,Cleveland,L,92,115
okc,"Wed, Feb 24",@,Dallas,L,92,115
okc,"Thu, Feb 25",@,New Orleans,L,92,115
okc,"Sat, Feb 27",vs,Golden State,L,92,115
okc,"Mon, Feb 29",@,Sacramento,L,92,115
okc,"Wed, Mar 2",@,Los Angeles,L,92,115
okc,"Thu, Mar 3",@,Golden State,L,92,115
okc,"Sun, Mar 6",@,Milwaukee,L,92,115
okc,"Wed, Mar 9",vs,Los Angeles,L,92,115
okc,"Fri, Mar 11",vs,Minnesota,L,92,115
okc,"Sat, Mar 12",@,San Antonio,L,92,115
okc,"Mon, Mar 14",vs,Portland,L,92,115
okc,"Wed, Mar 16",@,Boston,L,92,115
okc,"Fri, Mar 18",@,Philadelphia,L,92,115
okc,"Sat, Mar 19",@,Indiana,L,92,115
okc,"Tue, Mar 22",vs,Houston,L,92,115
okc,"Thu, Mar 24",vs,Utah,L,92,115
okc,"Sat, Mar 26",vs,San Antonio,L,92,115
okc,"Mon, Mar 28",@,Toronto,L,92,115
okc,"Tue, Mar 29",@,Detroit,L,92,115
okc,"Thu, Mar 31",vs,Los Angeles,L,92,115
okc,"Sun, Apr 3",@,Houston,L,92,115
okc,"Tue, Apr 5",@,Denver,L,92,115
okc,"Wed, Apr 6",@,Portland,L,92,115
okc,"Sat, Apr 9",@,Sacramento,L,92,115
okc,"Mon, Apr 11",vs,Los Angeles,L,92,115
okc,"Tue, Apr 12",@,San Antonio,L,92,115
