team,date,a/h,opponent,w/l,s,os
orl,"Wed, Oct 28",vs,Washington,L,87,88
orl,"Fri, Oct 30",vs,Oklahoma City,L,136,139
orl,"Sun, Nov 1",@,Chicago,L,87,92
orl,"Tue, Nov 3",@,New Orleans,W,103,94
orl,"Wed, Nov 4",@,Houston,L,114,119
orl,"Fri, Nov 6",vs,Toronto,W,92,87
orl,"Sat, Nov 7",@,Philadelphia,W,105,97
orl,"Mon, Nov 9",@,Indiana,L,84,97
orl,"Wed, Nov 11",vs,Los Angeles,W,101,99
orl,"Fri, Nov 13",vs,Utah,W,102,93
orl,"Sat, Nov 14",@,Washington,L,99,108
orl,"Wed, Nov 18",vs,Minnesota,W,104,101
orl,"Sat, Nov 21",vs,Sacramento,L,91,97
orl,"Mon, Nov 23",@,Cleveland,L,103,117
orl,"Wed, Nov 25",vs,NY Knicks,W,100,91
orl,"Fri, Nov 27",vs,Milwaukee,W,114,90
orl,"Sun, Nov 29",vs,Boston,W,110,91
orl,"Tue, Dec 1",@,Minnesota,W,96,93
orl,"Thu, Dec 3",@,Utah,W,103,94
orl,"Sat, Dec 5",@,Los Angeles,L,101,103
orl,"Tue, Dec 8",@,Denver,W,85,74
orl,"Wed, Dec 9",@,Phoenix,L,104,107
orl,"Fri, Dec 11",vs,Cleveland,L,76,111
orl,"Mon, Dec 14",@,Brooklyn,W,105,82
orl,"Wed, Dec 16",vs,Charlotte,W,113,98
orl,"Fri, Dec 18",vs,Portland,W,102,94
orl,"Sun, Dec 20",vs,Atlanta,L,100,103
orl,"Mon, Dec 21",@,NY Knicks,W,107,99
orl,"Wed, Dec 23",vs,Houston,W,104,101
orl,"Sat, Dec 26",vs,Miami,L,101,108
orl,"Mon, Dec 28",vs,New Orleans,W,104,89
orl,"Wed, Dec 30",vs,Brooklyn,W,100,93
orl,"Fri, Jan 1",@,Washington,L,91,103
orl,"Sat, Jan 2",@,Cleveland,L,79,104
orl,"Mon, Jan 4",@,Detroit,L,89,115
orl,"Wed, Jan 6",vs,Indiana,L,86,95
orl,"Fri, Jan 8",@,Brooklyn,W,83,77
orl,"Sat, Jan 9",vs,Washington,L,99,105
orl,"Thu, Jan 14",vs,Toronto,L,103,106
orl,"Mon, Jan 18",@,Atlanta,L,81,98
orl,"Wed, Jan 20",vs,Philadelphia,L,87,96
orl,"Fri, Jan 22",vs,Charlotte,L,116,120
orl,"Mon, Jan 25",@,Memphis,L,102,108
orl,"Tue, Jan 26",@,Milwaukee,L,100,107
orl,"Fri, Jan 29",@,Boston,L,94,113
orl,"Sun, Jan 31",vs,Boston,W,119,114
orl,"Mon, Feb 1",@,San Antonio,L,92,107
orl,"Wed, Feb 3",@,Oklahoma City,L,114,117
orl,"Fri, Feb 5",vs,Los Angeles,L,93,107
orl,"Sun, Feb 7",vs,Atlanta,W,96,94
orl,"Mon, Feb 8",@,Atlanta,W,117,110
orl,"Wed, Feb 10",vs,San Antonio,L,96,98
orl,"Fri, Feb 19",vs,Dallas,W,110,104
orl,"Sun, Feb 21",vs,Indiana,L,102,105
orl,"Tue, Feb 23",,,,,
orl,"Thu, Feb 25",vs,Golden State,,,
orl,"Fri, Feb 26",@,NY Knicks,,,
orl,"Sun, Feb 28",vs,Philadelphia,,,
orl,"Tue, Mar 1",@,Dallas,,,
orl,"Wed, Mar 2",vs,Chicago,,,
orl,"Fri, Mar 4",vs,Phoenix,,,
orl,"Mon, Mar 7",@,Golden State,,,
orl,"Tue, Mar 8",@,Los Angeles,,,
orl,"Fri, Mar 11",@,Sacramento,,,
orl,"Sat, Mar 12",@,Portland,,,
orl,"Tue, Mar 15",vs,Denver,,,
orl,"Wed, Mar 16",@,Charlotte,,,
orl,"Fri, Mar 18",vs,Cleveland,,,
orl,"Sun, Mar 20",@,Toronto,,,
orl,"Mon, Mar 21",@,Boston,,,
orl,"Wed, Mar 23",@,Detroit,,,
orl,"Fri, Mar 25",@,Miami,,,
orl,"Sat, Mar 26",vs,Chicago,,,
orl,"Tue, Mar 29",vs,Brooklyn,,,
orl,"Thu, Mar 31",@,Indiana,,,
orl,"Fri, Apr 1",@,Milwaukee,,,
orl,"Sun, Apr 3",vs,Memphis,,,
orl,"Wed, Apr 6",vs,Detroit,,,
orl,"Fri, Apr 8",vs,Miami,,,
orl,"Sun, Apr 10",@,Miami,,,
orl,"Mon, Apr 11",vs,Milwaukee,,,
orl,"Wed, Apr 13",@,Charlotte,,,
