team,date,a/h,opponent,w/l,s,os
por,"Wed, Oct 28",vs,New Orleans,W,112,94
por,"Fri, Oct 30",@,Phoenix,L,92,110
por,"Sat, Oct 31",vs,Phoenix,L,90,101
por,"Mon, Nov 2",@,Minnesota,W,106,101
por,"Wed, Nov 4",@,Utah,W,108,92
por,"Thu, Nov 5",vs,Memphis,W,115,96
por,"Sun, Nov 8",vs,Detroit,L,103,120
por,"Mon, Nov 9",@,Denver,L,104,108
por,"Wed, Nov 11",vs,San Antonio,L,101,113
por,"Fri, Nov 13",@,Memphis,L,100,101
por,"Sun, Nov 15",@,Charlotte,L,94,106
por,"Mon, Nov 16",@,San Antonio,L,80,93
por,"Wed, Nov 18",@,Houston,L,103,108
por,"Fri, Nov 20",vs,Los Angeles,W,102,91
por,"Sun, Nov 22",@,Los Angeles,W,107,93
por,"Tue, Nov 24",vs,Chicago,L,88,93
por,"Sat, Nov 28",vs,Los Angeles,W,108,96
por,"Mon, Nov 30",@,Los Angeles,L,87,102
por,"Tue, Dec 1",vs,Dallas,L,112,115
por,"Thu, Dec 3",vs,Indiana,W,123,111
por,"Sat, Dec 5",@,Minnesota,W,109,103
por,"Mon, Dec 7",@,Milwaukee,L,88,90
por,"Tue, Dec 8",@,Cleveland,L,100,105
por,"Fri, Dec 11",@,Phoenix,W,106,96
por,"Sat, Dec 12",vs,NY Knicks,L,110,112
por,"Mon, Dec 14",vs,New Orleans,W,105,101
por,"Wed, Dec 16",@,Oklahoma City,L,90,106
por,"Fri, Dec 18",@,Orlando,L,94,102
por,"Sun, Dec 20",@,Miami,L,109,116
por,"Mon, Dec 21",@,Atlanta,L,97,106
por,"Wed, Dec 23",@,New Orleans,L,89,115
por,"Sat, Dec 26",vs,Cleveland,W,105,76
por,"Sun, Dec 27",@,Sacramento,W,98,94
por,"Wed, Dec 30",vs,Denver,W,110,103
por,"Thu, Dec 31",@,Utah,L,96,109
por,"Sun, Jan 3",@,Denver,W,112,106
por,"Mon, Jan 4",vs,Memphis,L,78,91
por,"Wed, Jan 6",vs,Los Angeles,L,98,109
por,"Fri, Jan 8",vs,Golden State,L,108,128
por,"Sun, Jan 10",vs,Oklahoma City,W,115,110
por,"Wed, Jan 13",vs,Utah,W,99,85
por,"Fri, Jan 15",@,Brooklyn,W,116,104
por,"Sat, Jan 16",@,Philadelphia,L,89,114
por,"Mon, Jan 18",@,Washington,W,108,98
por,"Wed, Jan 20",vs,Atlanta,L,98,104
por,"Sat, Jan 23",vs,Los Angeles,W,121,103
por,"Tue, Jan 26",vs,Sacramento,W,112,97
por,"Fri, Jan 29",vs,Charlotte,W,109,91
por,"Sun, Jan 31",vs,Minnesota,W,96,93
por,"Tue, Feb 2",vs,Milwaukee,W,107,95
por,"Thu, Feb 4",vs,Toronto,L,103,110
por,"Sat, Feb 6",@,Houston,W,96,79
por,"Mon, Feb 8",@,Memphis,W,112,106
por,"Wed, Feb 10",vs,Houston,W,116,103
por,"Fri, Feb 19",vs,Golden State,W,137,105
por,"Sun, Feb 21",vs,Utah,W,115,111
por,"Tue, Feb 23",,,,,
por,"Thu, Feb 25",vs,Houston,,,
por,"Sat, Feb 27",@,Chicago,,,
por,"Sun, Feb 28",@,Indiana,,,
por,"Tue, Mar 1",@,NY Knicks,,,
por,"Wed, Mar 2",@,Boston,,,
por,"Fri, Mar 4",@,Toronto,,,
por,"Sun, Mar 6",@,Detroit,,,
por,"Tue, Mar 8",vs,Washington,,,
por,"Fri, Mar 11",@,Golden State,,,
por,"Sat, Mar 12",vs,Orlando,,,
por,"Mon, Mar 14",@,Oklahoma City,,,
por,"Thu, Mar 17",@,San Antonio,,,
por,"Fri, Mar 18",@,New Orleans,,,
por,"Sun, Mar 20",@,Dallas,,,
por,"Wed, Mar 23",vs,Dallas,,,
por,"Thu, Mar 24",@,Los Angeles,,,
por,"Sat, Mar 26",vs,Philadelphia,,,
por,"Mon, Mar 28",vs,Sacramento,,,
por,"Thu, Mar 31",vs,Boston,,,
por,"Sat, Apr 2",vs,Miami,,,
por,"Sun, Apr 3",@,Golden State,,,
por,"Tue, Apr 5",@,Sacramento,,,
por,"Wed, Apr 6",vs,Oklahoma City,,,
por,"Sat, Apr 9",vs,Minnesota,,,
por,"Wed, Apr 13",vs,Denver,,,
