team,date,a/h,opponent,w/l,s,os
sa,"Wed, Oct 28",@,Oklahoma City,L,106,112
sa,"Fri, Oct 30",vs,Brooklyn,W,102,75
sa,"Sun, Nov 1",@,Boston,W,95,87
sa,"Mon, Nov 2",@,NY Knicks,W,94,84
sa,"Wed, Nov 4",@,Washington,L,99,102
sa,"Sat, Nov 7",vs,Charlotte,W,114,94
sa,"Mon, Nov 9",@,Sacramento,W,106,88
sa,"Wed, Nov 11",@,Portland,W,113,101
sa,"Sat, Nov 14",vs,Philadelphia,W,92,83
sa,"Mon, Nov 16",vs,Portland,W,93,80
sa,"Wed, Nov 18",vs,Denver,W,109,98
sa,"Fri, Nov 20",@,New Orleans,L,90,104
sa,"Sat, Nov 21",vs,Memphis,W,92,82
sa,"Mon, Nov 23",vs,Phoenix,W,98,84
sa,"Wed, Nov 25",vs,Dallas,W,88,83
sa,"Fri, Nov 27",@,Denver,W,91,80
sa,"Sat, Nov 28",vs,Atlanta,W,108,88
sa,"Mon, Nov 30",@,Chicago,L,89,92
sa,"Wed, Dec 2",vs,Milwaukee,W,95,70
sa,"Thu, Dec 3",@,Memphis,W,103,83
sa,"Sat, Dec 5",vs,Boston,W,108,105
sa,"Mon, Dec 7",@,Philadelphia,W,119,68
sa,"Wed, Dec 9",@,Toronto,L,94,97
sa,"Fri, Dec 11",vs,Los Angeles,W,109,87
sa,"Sat, Dec 12",@,Atlanta,W,103,78
sa,"Mon, Dec 14",vs,Utah,W,118,81
sa,"Wed, Dec 16",vs,Washington,W,114,95
sa,"Fri, Dec 18",vs,Los Angeles,W,115,107
sa,"Mon, Dec 21",vs,Indiana,W,106,92
sa,"Wed, Dec 23",@,Minnesota,W,108,83
sa,"Fri, Dec 25",@,Houston,L,84,88
sa,"Sat, Dec 26",vs,Denver,W,101,86
sa,"Mon, Dec 28",vs,Minnesota,W,101,95
sa,"Wed, Dec 30",vs,Phoenix,W,112,79
sa,"Sat, Jan 2",vs,Houston,W,121,103
sa,"Mon, Jan 4",@,Milwaukee,W,123,98
sa,"Wed, Jan 6",vs,Utah,W,123,98
sa,"Fri, Jan 8",vs,NY Knicks,W,100,99
sa,"Mon, Jan 11",@,Brooklyn,W,106,79
sa,"Tue, Jan 12",@,Detroit,W,109,99
sa,"Thu, Jan 14",vs,Cleveland,W,99,95
sa,"Sun, Jan 17",vs,Dallas,W,112,83
sa,"Thu, Jan 21",@,Phoenix,W,117,89
sa,"Fri, Jan 22",@,Los Angeles,W,108,95
sa,"Mon, Jan 25",@,Golden State,L,90,120
sa,"Wed, Jan 27",vs,Houston,W,130,99
sa,"Sat, Jan 30",@,Cleveland,L,103,117
sa,"Mon, Feb 1",vs,Orlando,W,107,92
sa,"Wed, Feb 3",vs,New Orleans,W,110,97
sa,"Fri, Feb 5",@,Dallas,W,116,90
sa,"Sat, Feb 6",vs,Los Angeles,W,106,102
sa,"Tue, Feb 9",@,Miami,W,119,101
sa,"Wed, Feb 10",@,Orlando,W,98,96
sa,"Thu, Feb 18",@,Los Angeles,L,86,105
sa,"Fri, Feb 19",@,Los Angeles,W,119,113
sa,"Sun, Feb 21",@,Phoenix,W,118,111
sa,"Wed, Feb 24",@,Sacramento,W,118,111
sa,"Thu, Feb 25",@,Utah,W,118,111
sa,"Sat, Feb 27",@,Houston,W,118,111
sa,"Wed, Mar 2",vs,Detroit,W,118,111
sa,"Thu, Mar 3",@,New Orleans,W,118,111
sa,"Sat, Mar 5",vs,Sacramento,W,118,111
sa,"Mon, Mar 7",@,Indiana,W,118,111
sa,"Tue, Mar 8",@,Minnesota,W,118,111
sa,"Thu, Mar 10",vs,Chicago,W,118,111
sa,"Sat, Mar 12",vs,Oklahoma City,W,118,111
sa,"Tue, Mar 15",vs,Los Angeles,W,118,111
sa,"Thu, Mar 17",vs,Portland,W,118,111
sa,"Sat, Mar 19",vs,Golden State,W,118,111
sa,"Mon, Mar 21",@,Charlotte,W,118,111
sa,"Wed, Mar 23",vs,Miami,W,118,111
sa,"Fri, Mar 25",vs,Memphis,W,118,111
sa,"Sat, Mar 26",@,Oklahoma City,W,118,111
sa,"Mon, Mar 28",@,Memphis,W,118,111
sa,"Wed, Mar 30",vs,New Orleans,W,118,111
sa,"Sat, Apr 2",vs,Toronto,W,118,111
sa,"Tue, Apr 5",@,Utah,W,118,111
sa,"Thu, Apr 7",@,Golden State,W,118,111
sa,"Fri, Apr 8",@,Denver,W,118,111
sa,"Sun, Apr 10",vs,Golden State,W,118,111
sa,"Tue, Apr 12",vs,Oklahoma City,W,118,111
sa,"Wed, Apr 13",@,Dallas,W,118,111
