team,date,a/h,opponent,w/l,s,os
utah,"Wed, Oct 28",@,Detroit,L,87,92
utah,"Fri, Oct 30",@,Philadelphia,W,99,71
utah,"Sat, Oct 31",@,Indiana,W,97,76
utah,"Wed, Nov 4",vs,Portland,L,92,108
utah,"Thu, Nov 5",@,Denver,W,96,84
utah,"Sat, Nov 7",vs,Memphis,W,89,79
utah,"Tue, Nov 10",@,Cleveland,L,114,118
utah,"Thu, Nov 12",@,Miami,L,91,92
utah,"Fri, Nov 13",@,Orlando,L,93,102
utah,"Sun, Nov 15",@,Atlanta,W,97,96
utah,"Wed, Nov 18",vs,Toronto,W,93,89
utah,"Fri, Nov 20",@,Dallas,L,93,102
utah,"Mon, Nov 23",vs,Oklahoma City,L,89,111
utah,"Wed, Nov 25",@,Los Angeles,W,102,91
utah,"Sat, Nov 28",vs,New Orleans,W,101,87
utah,"Mon, Nov 30",vs,Golden State,L,103,106
utah,"Thu, Dec 3",vs,Orlando,L,94,103
utah,"Sat, Dec 5",vs,Indiana,W,122,119
utah,"Tue, Dec 8",@,Sacramento,L,106,114
utah,"Wed, Dec 9",vs,NY Knicks,W,106,85
utah,"Fri, Dec 11",vs,Oklahoma City,L,90,94
utah,"Sun, Dec 13",@,Oklahoma City,L,98,104
utah,"Mon, Dec 14",@,San Antonio,L,81,118
utah,"Wed, Dec 16",vs,New Orleans,L,94,104
utah,"Fri, Dec 18",vs,Denver,W,97,88
utah,"Mon, Dec 21",vs,Phoenix,W,110,89
utah,"Wed, Dec 23",@,Golden State,L,85,103
utah,"Sat, Dec 26",vs,Los Angeles,L,104,109
utah,"Mon, Dec 28",vs,Philadelphia,W,95,91
utah,"Wed, Dec 30",@,Minnesota,L,80,94
utah,"Thu, Dec 31",vs,Portland,W,109,96
utah,"Sat, Jan 2",vs,Memphis,W,92,87
utah,"Mon, Jan 4",vs,Houston,L,91,93
utah,"Wed, Jan 6",@,San Antonio,L,98,123
utah,"Thu, Jan 7",@,Houston,L,94,103
utah,"Sat, Jan 9",vs,Miami,W,98,83
utah,"Sun, Jan 10",@,Los Angeles,W,86,74
utah,"Wed, Jan 13",@,Portland,L,85,99
utah,"Thu, Jan 14",vs,Sacramento,L,101,103
utah,"Sat, Jan 16",vs,Los Angeles,W,109,82
utah,"Mon, Jan 18",@,Charlotte,L,119,124
utah,"Wed, Jan 20",@,NY Knicks,L,111,118
utah,"Fri, Jan 22",@,Brooklyn,W,108,86
utah,"Sat, Jan 23",@,Washington,W,108,86
utah,"Mon, Jan 25",vs,Detroit,L,92,95
utah,"Wed, Jan 27",vs,Charlotte,W,102,73
utah,"Fri, Jan 29",vs,Minnesota,W,103,90
utah,"Mon, Feb 1",vs,Chicago,W,105,96
utah,"Wed, Feb 3",vs,Denver,W,85,81
utah,"Fri, Feb 5",vs,Milwaukee,W,84,81
utah,"Sat, Feb 6",@,Phoenix,W,98,89
utah,"Tue, Feb 9",@,Dallas,W,121,119
utah,"Wed, Feb 10",@,New Orleans,L,96,100
utah,"Thu, Feb 18",@,Washington,L,89,103
utah,"Fri, Feb 19",vs,Boston,W,111,93
utah,"Sun, Feb 21",@,Portland,L,111,115
utah,"Tue, Feb 23",,,,,
utah,"Thu, Feb 25",vs,San Antonio,,,
utah,"Sat, Feb 27",vs,Brooklyn,,,
utah,"Mon, Feb 29",@,Boston,,,
utah,"Wed, Mar 2",@,Toronto,,,
utah,"Fri, Mar 4",@,Memphis,,,
utah,"Sat, Mar 5",@,New Orleans,,,
utah,"Tue, Mar 8",vs,Atlanta,,,
utah,"Wed, Mar 9",@,Golden State,,,
utah,"Fri, Mar 11",vs,Washington,,,
utah,"Sun, Mar 13",@,Sacramento,,,
utah,"Mon, Mar 14",vs,Cleveland,,,
utah,"Thu, Mar 17",vs,Phoenix,,,
utah,"Sat, Mar 19",@,Chicago,,,
utah,"Sun, Mar 20",@,Milwaukee,,,
utah,"Wed, Mar 23",@,Houston,,,
utah,"Thu, Mar 24",@,Oklahoma City,,,
utah,"Sat, Mar 26",@,Minnesota,,,
utah,"Mon, Mar 28",vs,Los Angeles,,,
utah,"Wed, Mar 30",vs,Golden State,,,
utah,"Fri, Apr 1",vs,Minnesota,,,
utah,"Sun, Apr 3",@,Phoenix,,,
utah,"Tue, Apr 5",vs,San Antonio,,,
utah,"Fri, Apr 8",vs,Los Angeles,,,
utah,"Sun, Apr 10",@,Denver,,,
utah,"Mon, Apr 11",vs,Dallas,,,
utah,"Wed, Apr 13",@,Los Angeles,,,
