team,date,a/h,opponent,w/l,s,os
bkn,"Wed, Oct 29",@,Boston,L,105,121
bkn,"Sat, Nov 1",@,Detroit,W,102,90
bkn,"Mon, Nov 3",vs,Oklahoma City,W,116,85
bkn,"Wed, Nov 5",vs,Minnesota,L,91,98
bkn,"Fri, Nov 7",vs,NY Knicks,W,110,99
bkn,"Sun, Nov 9",vs,Orlando,W,104,96
bkn,"Wed, Nov 12",@,Phoenix,L,104,112
bkn,"Thu, Nov 13",@,Golden State,L,99,107
bkn,"Sat, Nov 15",@,Portland,L,87,97
bkn,"Mon, Nov 17",vs,Miami,L,83,95
bkn,"Wed, Nov 19",vs,Milwaukee,L,118,122
bkn,"Fri, Nov 21",@,Oklahoma City,W,94,92
bkn,"Sat, Nov 22",@,San Antonio,L,87,99
bkn,"Wed, Nov 26",@,Philadelphia,W,99,91
bkn,"Sun, Nov 30",vs,Chicago,L,84,102
bkn,"Tue, Dec 2",@,NY Knicks,W,98,93
bkn,"Wed, Dec 3",vs,San Antonio,W,95,93
bkn,"Fri, Dec 5",vs,Atlanta,L,75,98
bkn,"Mon, Dec 8",vs,Cleveland,L,88,110
bkn,"Wed, Dec 10",@,Chicago,L,80,105
bkn,"Fri, Dec 12",vs,Philadelphia,W,88,70
bkn,"Sat, Dec 13",@,Charlotte,W,114,87
bkn,"Tue, Dec 16",vs,Miami,L,91,95
bkn,"Wed, Dec 17",@,Toronto,L,89,105
bkn,"Fri, Dec 19",@,Cleveland,L,91,95
bkn,"Sun, Dec 21",vs,Detroit,W,110,105
bkn,"Tue, Dec 23",vs,Denver,W,102,96
bkn,"Fri, Dec 26",@,Boston,W,109,107
bkn,"Sat, Dec 27",vs,Indiana,L,85,110
bkn,"Mon, Dec 29",vs,Sacramento,W,107,99
bkn,"Tue, Dec 30",@,Chicago,W,96,82
bkn,"Fri, Jan 2",@,Orlando,W,100,98
bkn,"Sun, Jan 4",@,Miami,L,84,88
bkn,"Mon, Jan 5",vs,Dallas,L,88,96
bkn,"Wed, Jan 7",vs,Boston,L,81,89
bkn,"Fri, Jan 9",vs,Philadelphia,L,88,90
bkn,"Sat, Jan 10",@,Detroit,L,93,98
bkn,"Mon, Jan 12",vs,Houston,L,99,113
bkn,"Wed, Jan 14",vs,Memphis,L,92,103
bkn,"Fri, Jan 16",@,Washington,W,102,80
bkn,"Sat, Jan 17",vs,Washington,L,90,99
bkn,"Wed, Jan 21",@,Sacramento,W,103,100
bkn,"Thu, Jan 22",@,Los Angeles,L,84,123
bkn,"Sat, Jan 24",@,Utah,L,73,108
bkn,"Mon, Jan 26",vs,Portland,L,73,108
bkn,"Wed, Jan 28",@,Atlanta,L,102,113
bkn,"Fri, Jan 30",vs,Toronto,L,122,127
bkn,"Mon, Feb 2",vs,Los Angeles,W,102,100
bkn,"Wed, Feb 4",@,Toronto,W,109,93
bkn,"Fri, Feb 6",vs,NY Knicks,W,92,88
bkn,"Sat, Feb 7",@,Washington,L,77,114
bkn,"Mon, Feb 9",@,Milwaukee,L,97,103
bkn,"Tue, Feb 10",@,Memphis,L,86,95
bkn,"Fri, Feb 20",@,Los Angeles,W,114,105
bkn,"Mon, Feb 23",@,Denver,W,110,82
bkn,"Wed, Feb 25",@,New Orleans,L,96,102
bkn,"Fri, Feb 27",@,Houston,L,98,102
bkn,"Sat, Feb 28",@,Dallas,W,104,94
bkn,"Mon, Mar 2",vs,Golden State,W,110,108
bkn,"Wed, Mar 4",vs,Charlotte,L,91,115
bkn,"Fri, Mar 6",vs,Phoenix,L,100,108
bkn,"Sun, Mar 8",vs,Utah,L,88,95
bkn,"Tue, Mar 10",vs,New Orleans,L,91,111
bkn,"Wed, Mar 11",@,Miami,L,98,104
bkn,"Sat, Mar 14",@,Philadelphia,W,94,87
bkn,"Mon, Mar 16",@,Minnesota,W,122,106
bkn,"Wed, Mar 18",@,Cleveland,L,92,117
bkn,"Fri, Mar 20",vs,Milwaukee,W,129,127
bkn,"Sat, Mar 21",@,Indiana,W,123,111
bkn,"Mon, Mar 23",vs,Boston,L,91,110
bkn,"Wed, Mar 25",@,Charlotte,W,91,88
bkn,"Fri, Mar 27",vs,Cleveland,W,106,98
bkn,"Sun, Mar 29",vs,Los Angeles,W,107,99
bkn,"Tue, Mar 31",vs,Indiana,W,111,106
bkn,"Wed, Apr 1",@,NY Knicks,W,100,98
bkn,"Fri, Apr 3",vs,Toronto,W,114,109
bkn,"Sat, Apr 4",@,Atlanta,L,99,131
bkn,"Mon, Apr 6",vs,Portland,W,106,96
bkn,"Wed, Apr 8",vs,Atlanta,L,111,114
bkn,"Fri, Apr 10",vs,Washington,W,117,80
bkn,"Sun, Apr 12",@,Milwaukee,L,73,96
bkn,"Mon, Apr 13",vs,Chicago,L,86,113
bkn,"Wed, Apr 15",vs,Orlando,W,101,88
