team,date,a/h,opponent,w/l,s,os
bos,"Wed, Oct 29",vs,Brooklyn,W,121,105
bos,"Sat, Nov 1",@,Houston,L,90,104
bos,"Mon, Nov 3",@,Dallas,L,113,118
bos,"Wed, Nov 5",vs,Toronto,L,107,110
bos,"Fri, Nov 7",vs,Indiana,W,101,98
bos,"Sat, Nov 8",@,Chicago,W,106,101
bos,"Wed, Nov 12",vs,Oklahoma City,L,94,109
bos,"Fri, Nov 14",vs,Cleveland,L,121,122
bos,"Mon, Nov 17",vs,Phoenix,L,114,118
bos,"Wed, Nov 19",@,Philadelphia,W,101,90
bos,"Fri, Nov 21",@,Memphis,L,100,117
bos,"Sun, Nov 23",vs,Portland,L,88,94
bos,"Fri, Nov 28",vs,Chicago,L,102,109
bos,"Sun, Nov 30",vs,San Antonio,L,89,111
bos,"Tue, Dec 2",@,Atlanta,L,105,109
bos,"Wed, Dec 3",vs,Detroit,W,109,102
bos,"Fri, Dec 5",vs,Los Angeles,W,113,96
bos,"Sun, Dec 7",vs,Washington,W,101,93
bos,"Mon, Dec 8",@,Washington,L,132,133
bos,"Wed, Dec 10",@,Charlotte,L,87,96
bos,"Fri, Dec 12",vs,NY Knicks,L,95,101
bos,"Mon, Dec 15",@,Philadelphia,W,105,87
bos,"Wed, Dec 17",vs,Orlando,W,109,92
bos,"Fri, Dec 19",vs,Minnesota,W,114,98
bos,"Sun, Dec 21",@,Miami,L,84,100
bos,"Tue, Dec 23",@,Orlando,L,95,100
bos,"Fri, Dec 26",vs,Brooklyn,L,107,109
bos,"Sat, Dec 27",@,Washington,L,88,101
bos,"Wed, Dec 31",vs,Sacramento,W,106,84
bos,"Fri, Jan 2",vs,Dallas,L,101,119
bos,"Sat, Jan 3",@,Chicago,L,104,109
bos,"Mon, Jan 5",vs,Charlotte,L,95,104
bos,"Wed, Jan 7",@,Brooklyn,W,89,81
bos,"Fri, Jan 9",@,Indiana,L,103,107
bos,"Sat, Jan 10",@,Toronto,L,96,109
bos,"Mon, Jan 12",vs,New Orleans,W,108,100
bos,"Wed, Jan 14",vs,Atlanta,L,91,105
bos,"Fri, Jan 16",vs,Chicago,L,103,119
bos,"Mon, Jan 19",@,Los Angeles,L,93,102
bos,"Thu, Jan 22",@,Portland,W,90,89
bos,"Fri, Jan 23",@,Denver,W,100,99
bos,"Sun, Jan 25",@,Golden State,L,111,114
bos,"Mon, Jan 26",@,Utah,W,99,90
bos,"Wed, Jan 28",@,Minnesota,L,98,110
bos,"Fri, Jan 30",vs,Houston,L,87,93
bos,"Sun, Feb 1",vs,Miami,L,75,83
bos,"Tue, Feb 3",@,NY Knicks,W,108,97
bos,"Wed, Feb 4",vs,Denver,W,104,100
bos,"Fri, Feb 6",vs,Philadelphia,W,107,96
bos,"Sat, Feb 7",@,Milwaukee,L,93,96
bos,"Wed, Feb 11",vs,Atlanta,W,89,88
bos,"Fri, Feb 20",@,Sacramento,L,101,109
bos,"Sun, Feb 22",@,Los Angeles,L,111,118
bos,"Mon, Feb 23",@,Phoenix,W,115,110
bos,"Wed, Feb 25",vs,NY Knicks,W,115,94
bos,"Fri, Feb 27",vs,Charlotte,W,106,98
bos,"Sun, Mar 1",vs,Golden State,L,101,106
bos,"Tue, Mar 3",@,Cleveland,L,79,110
bos,"Wed, Mar 4",vs,Utah,W,85,84
bos,"Fri, Mar 6",@,New Orleans,W,104,98
bos,"Sun, Mar 8",@,Orlando,L,98,103
bos,"Mon, Mar 9",@,Miami,W,100,90
bos,"Wed, Mar 11",vs,Memphis,W,95,92
bos,"Fri, Mar 13",vs,Orlando,W,95,88
bos,"Sat, Mar 14",@,Indiana,W,93,89
bos,"Mon, Mar 16",vs,Philadelphia,W,108,89
bos,"Wed, Mar 18",@,Oklahoma City,L,118,122
bos,"Fri, Mar 20",@,San Antonio,L,89,101
bos,"Sun, Mar 22",vs,Detroit,L,97,105
bos,"Mon, Mar 23",@,Brooklyn,W,110,91
bos,"Wed, Mar 25",vs,Miami,L,86,93
bos,"Fri, Mar 27",@,NY Knicks,W,96,92
bos,"Sun, Mar 29",vs,Los Angeles,L,106,119
bos,"Mon, Mar 30",@,Charlotte,W,116,104
bos,"Wed, Apr 1",vs,Indiana,W,100,87
bos,"Fri, Apr 3",vs,Milwaukee,L,101,110
bos,"Sat, Apr 4",@,Toronto,W,117,116
bos,"Wed, Apr 8",@,Detroit,W,113,103
bos,"Fri, Apr 10",@,Cleveland,W,99,90
bos,"Sun, Apr 12",vs,Cleveland,W,117,78
bos,"Tue, Apr 14",vs,Toronto,W,95,93
bos,"Wed, Apr 15",@,Milwaukee,W,105,100
