team,date,a/h,opponent,w/l,s,os
cle,"Thu, Oct 30",vs,NY Knicks,L,90,95
cle,"Fri, Oct 31",@,Chicago,W,114,108
cle,"Tue, Nov 4",@,Portland,L,82,101
cle,"Wed, Nov 5",@,Utah,L,100,102
cle,"Fri, Nov 7",@,Denver,W,110,101
cle,"Mon, Nov 10",vs,New Orleans,W,118,111
cle,"Fri, Nov 14",@,Boston,W,122,121
cle,"Sat, Nov 15",vs,Atlanta,W,127,94
cle,"Mon, Nov 17",vs,Denver,L,97,106
cle,"Wed, Nov 19",vs,San Antonio,L,90,92
cle,"Fri, Nov 21",@,Washington,L,78,91
cle,"Sat, Nov 22",vs,Toronto,L,93,110
cle,"Mon, Nov 24",vs,Orlando,W,106,74
cle,"Wed, Nov 26",vs,Washington,W,113,87
cle,"Sat, Nov 29",vs,Indiana,W,109,97
cle,"Tue, Dec 2",vs,Milwaukee,W,111,108
cle,"Thu, Dec 4",@,NY Knicks,W,90,87
cle,"Fri, Dec 5",@,Toronto,W,105,91
cle,"Mon, Dec 8",@,Brooklyn,W,110,88
cle,"Tue, Dec 9",vs,Toronto,W,105,101
cle,"Thu, Dec 11",@,Oklahoma City,L,94,103
cle,"Fri, Dec 12",@,New Orleans,L,114,119
cle,"Mon, Dec 15",vs,Charlotte,W,97,88
cle,"Wed, Dec 17",vs,Atlanta,L,98,127
cle,"Fri, Dec 19",vs,Brooklyn,W,95,91
cle,"Sun, Dec 21",vs,Memphis,W,105,91
cle,"Tue, Dec 23",vs,Minnesota,W,125,104
cle,"Thu, Dec 25",@,Miami,L,91,101
cle,"Fri, Dec 26",@,Orlando,W,98,89
cle,"Sun, Dec 28",vs,Detroit,L,80,103
cle,"Tue, Dec 30",@,Atlanta,L,101,109
cle,"Wed, Dec 31",vs,Milwaukee,L,80,96
cle,"Fri, Jan 2",@,Charlotte,W,91,87
cle,"Sun, Jan 4",vs,Dallas,L,90,109
cle,"Mon, Jan 5",@,Philadelphia,L,92,95
cle,"Wed, Jan 7",vs,Houston,L,93,105
cle,"Fri, Jan 9",@,Golden State,L,94,112
cle,"Sun, Jan 11",@,Sacramento,L,84,103
cle,"Tue, Jan 13",@,Phoenix,L,100,107
cle,"Thu, Jan 15",@,Los Angeles,W,109,102
cle,"Fri, Jan 16",@,Los Angeles,W,126,121
cle,"Mon, Jan 19",vs,Chicago,W,108,94
cle,"Wed, Jan 21",vs,Utah,W,106,92
cle,"Fri, Jan 23",vs,Charlotte,W,129,90
cle,"Sun, Jan 25",vs,Oklahoma City,W,108,98
cle,"Tue, Jan 27",@,Detroit,W,103,95
cle,"Wed, Jan 28",vs,Portland,W,99,94
cle,"Fri, Jan 30",vs,Sacramento,W,101,90
cle,"Sat, Jan 31",@,Minnesota,W,106,90
cle,"Mon, Feb 2",vs,Philadelphia,W,97,84
cle,"Thu, Feb 5",vs,Los Angeles,W,105,94
cle,"Fri, Feb 6",@,Indiana,L,99,103
cle,"Sun, Feb 8",vs,Los Angeles,W,120,105
cle,"Wed, Feb 11",vs,Miami,W,113,93
cle,"Thu, Feb 12",@,Chicago,L,98,113
cle,"Fri, Feb 20",@,Washington,W,127,89
cle,"Sun, Feb 22",@,NY Knicks,W,101,83
cle,"Tue, Feb 24",@,Detroit,W,102,93
cle,"Thu, Feb 26",vs,Golden State,W,110,99
cle,"Fri, Feb 27",@,Indiana,L,86,93
cle,"Sun, Mar 1",@,Houston,L,103,105
cle,"Tue, Mar 3",vs,Boston,W,110,79
cle,"Wed, Mar 4",@,Toronto,W,120,112
cle,"Fri, Mar 6",@,Atlanta,L,97,106
cle,"Sat, Mar 7",vs,Phoenix,W,89,79
cle,"Tue, Mar 10",@,Dallas,W,127,94
cle,"Thu, Mar 12",@,San Antonio,W,128,125
cle,"Sun, Mar 15",@,Orlando,W,123,108
cle,"Mon, Mar 16",@,Miami,L,92,106
cle,"Wed, Mar 18",vs,Brooklyn,W,117,92
cle,"Fri, Mar 20",vs,Indiana,W,95,92
cle,"Sun, Mar 22",@,Milwaukee,W,108,90
cle,"Wed, Mar 25",@,Memphis,W,111,89
cle,"Fri, Mar 27",@,Brooklyn,L,98,106
cle,"Sun, Mar 29",vs,Philadelphia,W,87,86
cle,"Thu, Apr 2",vs,Miami,W,114,88
cle,"Sun, Apr 5",vs,Chicago,W,99,94
cle,"Wed, Apr 8",@,Milwaukee,W,104,99
cle,"Fri, Apr 10",vs,Boston,L,90,99
cle,"Sun, Apr 12",@,Boston,L,78,117
cle,"Mon, Apr 13",vs,Detroit,W,109,97
cle,"Wed, Apr 15",vs,Washington,W,113,108
