team,date,a/h,opponent,w/l,s,os
lac,"Thu, Oct 30",vs,Oklahoma City,W,93,90
lac,"Fri, Oct 31",@,Los Angeles,W,118,111
lac,"Sun, Nov 2",vs,Sacramento,L,92,98
lac,"Mon, Nov 3",vs,Utah,W,107,101
lac,"Wed, Nov 5",@,Golden State,L,104,121
lac,"Sat, Nov 8",vs,Portland,W,106,102
lac,"Mon, Nov 10",vs,San Antonio,L,85,89
lac,"Sat, Nov 15",vs,Phoenix,W,120,107
lac,"Mon, Nov 17",vs,Chicago,L,89,105
lac,"Wed, Nov 19",@,Orlando,W,114,90
lac,"Thu, Nov 20",@,Miami,W,110,93
lac,"Sun, Nov 23",@,Memphis,L,91,107
lac,"Mon, Nov 24",@,Charlotte,W,113,92
lac,"Wed, Nov 26",@,Detroit,W,104,98
lac,"Fri, Nov 28",@,Houston,W,102,85
lac,"Sat, Nov 29",@,Utah,W,112,96
lac,"Mon, Dec 1",vs,Minnesota,W,127,101
lac,"Wed, Dec 3",vs,Orlando,W,114,86
lac,"Sat, Dec 6",vs,New Orleans,W,120,100
lac,"Mon, Dec 8",vs,Phoenix,W,121,120
lac,"Wed, Dec 10",@,Indiana,W,103,96
lac,"Fri, Dec 12",@,Washington,L,96,104
lac,"Sat, Dec 13",@,Milwaukee,L,106,111
lac,"Mon, Dec 15",vs,Detroit,W,113,91
lac,"Wed, Dec 17",vs,Indiana,W,102,100
lac,"Fri, Dec 19",@,Denver,L,106,109
lac,"Sat, Dec 20",vs,Milwaukee,W,106,102
lac,"Mon, Dec 22",@,San Antonio,L,118,125
lac,"Tue, Dec 23",@,Atlanta,L,104,107
lac,"Thu, Dec 25",vs,Golden State,W,100,86
lac,"Sat, Dec 27",vs,Toronto,L,98,110
lac,"Mon, Dec 29",vs,Utah,W,101,97
lac,"Wed, Dec 31",vs,NY Knicks,W,99,78
lac,"Sat, Jan 3",vs,Philadelphia,W,127,91
lac,"Mon, Jan 5",vs,Atlanta,L,98,107
lac,"Wed, Jan 7",vs,Los Angeles,W,114,89
lac,"Sat, Jan 10",vs,Dallas,W,120,100
lac,"Sun, Jan 11",vs,Miami,L,90,104
lac,"Wed, Jan 14",@,Portland,W,100,94
lac,"Fri, Jan 16",vs,Cleveland,L,121,126
lac,"Sat, Jan 17",@,Sacramento,W,117,108
lac,"Mon, Jan 19",vs,Boston,W,102,93
lac,"Thu, Jan 22",vs,Brooklyn,W,123,84
lac,"Sun, Jan 25",@,Phoenix,W,120,100
lac,"Mon, Jan 26",vs,Denver,W,102,98
lac,"Wed, Jan 28",@,Utah,W,94,89
lac,"Fri, Jan 30",@,New Orleans,L,103,108
lac,"Sat, Jan 31",@,San Antonio,W,105,85
lac,"Mon, Feb 2",@,Brooklyn,L,100,102
lac,"Thu, Feb 5",@,Cleveland,L,94,105
lac,"Fri, Feb 6",@,Toronto,L,107,123
lac,"Sun, Feb 8",@,Oklahoma City,L,108,131
lac,"Mon, Feb 9",@,Dallas,W,115,98
lac,"Wed, Feb 11",vs,Houston,W,110,95
lac,"Thu, Feb 19",vs,San Antonio,W,119,115
lac,"Sat, Feb 21",vs,Sacramento,W,126,99
lac,"Mon, Feb 23",vs,Memphis,L,87,90
lac,"Wed, Feb 25",@,Houston,L,105,110
lac,"Fri, Feb 27",@,Memphis,W,97,79
lac,"Sun, Mar 1",@,Chicago,W,96,86
lac,"Mon, Mar 2",@,Minnesota,W,110,105
lac,"Wed, Mar 4",vs,Portland,L,93,98
lac,"Sun, Mar 8",@,Golden State,L,98,106
lac,"Mon, Mar 9",vs,Minnesota,W,89,76
lac,"Wed, Mar 11",@,Oklahoma City,W,120,108
lac,"Fri, Mar 13",@,Dallas,L,99,129
lac,"Sun, Mar 15",vs,Houston,L,98,100
lac,"Tue, Mar 17",vs,Charlotte,W,99,92
lac,"Wed, Mar 18",@,Sacramento,W,116,105
lac,"Fri, Mar 20",vs,Washington,W,113,99
lac,"Sun, Mar 22",vs,New Orleans,W,107,100
lac,"Wed, Mar 25",@,NY Knicks,W,111,80
lac,"Fri, Mar 27",@,Philadelphia,W,119,98
lac,"Sun, Mar 29",@,Boston,W,119,106
lac,"Tue, Mar 31",vs,Golden State,L,106,110
lac,"Wed, Apr 1",@,Portland,W,126,122
lac,"Sat, Apr 4",@,Denver,W,107,92
lac,"Sun, Apr 5",@,Los Angeles,W,106,78
lac,"Tue, Apr 7",vs,Los Angeles,W,105,100
lac,"Sat, Apr 11",vs,Memphis,W,94,86
lac,"Mon, Apr 13",vs,Denver,W,110,103
lac,"Tue, Apr 14",@,Phoenix,W,112,101
