team,date,a/h,opponent,w/l,s,os
lal,"Tue, Oct 28",vs,Houston,L,90,108
lal,"Wed, Oct 29",@,Phoenix,L,99,119
lal,"Fri, Oct 31",vs,Los Angeles,L,111,118
lal,"Sat, Nov 1",@,Golden State,L,104,127
lal,"Tue, Nov 4",vs,Phoenix,L,106,112
lal,"Sun, Nov 9",vs,Charlotte,W,107,92
lal,"Tue, Nov 11",@,Memphis,L,102,107
lal,"Wed, Nov 12",@,New Orleans,L,102,109
lal,"Fri, Nov 14",vs,San Antonio,L,80,93
lal,"Sun, Nov 16",vs,Golden State,L,115,136
lal,"Tue, Nov 18",@,Atlanta,W,114,109
lal,"Wed, Nov 19",@,Houston,W,98,92
lal,"Fri, Nov 21",@,Dallas,L,106,140
lal,"Sun, Nov 23",vs,Denver,L,94,101
lal,"Wed, Nov 26",vs,Memphis,L,93,99
lal,"Fri, Nov 28",vs,Minnesota,L,119,120
lal,"Sun, Nov 30",vs,Toronto,W,129,122
lal,"Tue, Dec 2",@,Detroit,W,106,96
lal,"Wed, Dec 3",@,Washington,L,95,111
lal,"Fri, Dec 5",@,Boston,L,96,113
lal,"Sun, Dec 7",vs,New Orleans,L,87,104
lal,"Tue, Dec 9",vs,Sacramento,W,98,95
lal,"Fri, Dec 12",@,San Antonio,W,112,110
lal,"Sun, Dec 14",@,Minnesota,W,100,94
lal,"Mon, Dec 15",@,Indiana,L,91,110
lal,"Fri, Dec 19",vs,Oklahoma City,L,103,104
lal,"Sun, Dec 21",@,Sacramento,L,101,108
lal,"Tue, Dec 23",vs,Golden State,W,115,105
lal,"Thu, Dec 25",@,Chicago,L,93,113
lal,"Fri, Dec 26",@,Dallas,L,98,102
lal,"Sun, Dec 28",vs,Phoenix,L,107,116
lal,"Tue, Dec 30",@,Denver,W,111,103
lal,"Fri, Jan 2",vs,Memphis,L,106,109
lal,"Sun, Jan 4",vs,Indiana,W,88,87
lal,"Mon, Jan 5",@,Portland,L,94,98
lal,"Wed, Jan 7",@,Los Angeles,L,89,114
lal,"Fri, Jan 9",vs,Orlando,W,101,84
lal,"Sun, Jan 11",vs,Portland,L,94,106
lal,"Tue, Jan 13",vs,Miami,L,75,78
lal,"Thu, Jan 15",vs,Cleveland,L,102,109
lal,"Fri, Jan 16",@,Utah,L,85,94
lal,"Mon, Jan 19",@,Phoenix,L,100,115
lal,"Wed, Jan 21",@,New Orleans,L,80,96
lal,"Fri, Jan 23",@,San Antonio,L,85,99
lal,"Sun, Jan 25",vs,Houston,L,87,99
lal,"Tue, Jan 27",vs,Washington,L,92,98
lal,"Thu, Jan 29",vs,Chicago,W,123,118
lal,"Sun, Feb 1",@,NY Knicks,L,80,92
lal,"Wed, Feb 4",@,Milwaukee,L,105,113
lal,"Fri, Feb 6",@,Orlando,L,97,103
lal,"Sun, Feb 8",@,Cleveland,L,105,120
lal,"Tue, Feb 10",vs,Denver,L,96,106
lal,"Wed, Feb 11",@,Portland,L,86,102
lal,"Fri, Feb 20",vs,Brooklyn,L,105,114
lal,"Sun, Feb 22",vs,Boston,W,118,111
lal,"Wed, Feb 25",@,Utah,W,100,97
lal,"Fri, Feb 27",vs,Milwaukee,W,101,93
lal,"Sun, Mar 1",vs,Oklahoma City,L,101,108
lal,"Tue, Mar 3",@,Charlotte,L,103,104
lal,"Wed, Mar 4",@,Miami,L,94,100
lal,"Fri, Mar 6",@,Memphis,L,90,97
lal,"Sun, Mar 8",vs,Dallas,L,93,100
lal,"Tue, Mar 10",vs,Detroit,W,93,85
lal,"Thu, Mar 12",vs,NY Knicks,L,94,101
lal,"Sun, Mar 15",vs,Atlanta,L,86,91
lal,"Mon, Mar 16",@,Golden State,L,105,108
lal,"Thu, Mar 19",vs,Utah,L,73,80
lal,"Sun, Mar 22",vs,Philadelphia,W,101,87
lal,"Tue, Mar 24",@,Oklahoma City,L,117,127
lal,"Wed, Mar 25",@,Minnesota,W,101,99
lal,"Fri, Mar 27",@,Toronto,L,83,94
lal,"Sun, Mar 29",@,Brooklyn,L,99,107
lal,"Mon, Mar 30",@,Philadelphia,W,113,111
lal,"Wed, Apr 1",vs,New Orleans,L,92,113
lal,"Fri, Apr 3",vs,Portland,L,77,107
lal,"Sun, Apr 5",vs,Los Angeles,L,78,106
lal,"Tue, Apr 7",@,Los Angeles,L,100,105
lal,"Wed, Apr 8",@,Denver,L,101,119
lal,"Fri, Apr 10",vs,Minnesota,W,106,98
lal,"Sun, Apr 12",vs,Dallas,L,106,120
lal,"Mon, Apr 13",@,Sacramento,L,92,102
lal,"Wed, Apr 15",vs,Sacramento,L,99,122
