team,date,a/h,opponent,w/l,s,os
mem,"Wed, Oct 29",vs,Minnesota,W,105,101
mem,"Fri, Oct 31",@,Indiana,W,97,89
mem,"Sat, Nov 1",@,Charlotte,W,71,69
mem,"Mon, Nov 3",vs,New Orleans,W,93,81
mem,"Wed, Nov 5",@,Phoenix,W,102,91
mem,"Fri, Nov 7",@,Oklahoma City,W,91,89
mem,"Sat, Nov 8",@,Milwaukee,L,92,93
mem,"Tue, Nov 11",vs,Los Angeles,W,107,102
mem,"Thu, Nov 13",vs,Sacramento,W,111,110
mem,"Sat, Nov 15",vs,Detroit,W,95,88
mem,"Mon, Nov 17",vs,Houston,W,119,93
mem,"Wed, Nov 19",@,Toronto,L,92,96
mem,"Fri, Nov 21",vs,Boston,W,117,100
mem,"Sun, Nov 23",vs,Los Angeles,W,107,91
mem,"Wed, Nov 26",@,Los Angeles,W,99,93
mem,"Fri, Nov 28",@,Portland,W,112,99
mem,"Sun, Nov 30",@,Sacramento,W,97,85
mem,"Wed, Dec 3",@,Houston,L,96,105
mem,"Fri, Dec 5",vs,San Antonio,L,101,107
mem,"Sun, Dec 7",vs,Miami,W,103,87
mem,"Tue, Dec 9",vs,Dallas,W,114,105
mem,"Fri, Dec 12",vs,Charlotte,W,113,107
mem,"Sat, Dec 13",@,Philadelphia,W,120,115
mem,"Tue, Dec 16",vs,Golden State,W,105,98
mem,"Wed, Dec 17",@,San Antonio,W,117,116
mem,"Fri, Dec 19",vs,Chicago,L,97,103
mem,"Sun, Dec 21",@,Cleveland,L,91,105
mem,"Mon, Dec 22",vs,Utah,L,91,97
mem,"Fri, Dec 26",vs,Houston,L,111,117
mem,"Sat, Dec 27",@,Miami,W,103,95
mem,"Tue, Dec 30",vs,San Antonio,W,95,87
mem,"Fri, Jan 2",@,Los Angeles,W,109,106
mem,"Sat, Jan 3",@,Denver,L,85,114
mem,"Mon, Jan 5",vs,NY Knicks,W,105,83
mem,"Wed, Jan 7",@,Atlanta,L,86,96
mem,"Fri, Jan 9",@,New Orleans,L,95,106
mem,"Sun, Jan 11",vs,Phoenix,W,122,110
mem,"Wed, Jan 14",@,Brooklyn,W,103,92
mem,"Fri, Jan 16",@,Orlando,W,106,96
mem,"Sat, Jan 17",vs,Portland,W,102,98
mem,"Mon, Jan 19",vs,Dallas,L,95,103
mem,"Wed, Jan 21",vs,Toronto,W,92,86
mem,"Sat, Jan 24",vs,Philadelphia,W,101,83
mem,"Mon, Jan 26",vs,Orlando,W,103,94
mem,"Tue, Jan 27",@,Dallas,W,109,90
mem,"Thu, Jan 29",vs,Denver,W,99,69
mem,"Sat, Jan 31",vs,Oklahoma City,W,85,74
mem,"Mon, Feb 2",@,Phoenix,W,102,101
mem,"Wed, Feb 4",@,Utah,W,100,90
mem,"Fri, Feb 6",@,Minnesota,L,89,90
mem,"Sun, Feb 8",vs,Atlanta,W,94,88
mem,"Tue, Feb 10",vs,Brooklyn,W,95,86
mem,"Wed, Feb 11",@,Oklahoma City,L,89,105
mem,"Sun, Feb 22",@,Portland,W,98,92
mem,"Mon, Feb 23",@,Los Angeles,W,90,87
mem,"Wed, Feb 25",@,Sacramento,L,90,102
mem,"Fri, Feb 27",vs,Los Angeles,L,79,97
mem,"Sat, Feb 28",@,Minnesota,W,101,97
mem,"Tue, Mar 3",vs,Utah,L,82,93
mem,"Wed, Mar 4",@,Houston,W,102,100
mem,"Fri, Mar 6",vs,Los Angeles,W,97,90
mem,"Sat, Mar 7",@,New Orleans,L,89,95
mem,"Mon, Mar 9",@,Chicago,W,101,91
mem,"Wed, Mar 11",@,Boston,L,92,95
mem,"Thu, Mar 12",@,Washington,L,87,107
mem,"Sat, Mar 14",vs,Milwaukee,W,96,83
mem,"Mon, Mar 16",vs,Denver,W,92,81
mem,"Tue, Mar 17",@,Detroit,L,95,105
mem,"Fri, Mar 20",@,Dallas,W,112,101
mem,"Sat, Mar 21",vs,Portland,W,97,86
mem,"Mon, Mar 23",@,NY Knicks,W,103,82
mem,"Wed, Mar 25",vs,Cleveland,L,89,111
mem,"Fri, Mar 27",vs,Golden State,L,84,107
mem,"Sun, Mar 29",@,San Antonio,L,89,103
mem,"Mon, Mar 30",vs,Sacramento,W,97,83
mem,"Fri, Apr 3",vs,Oklahoma City,W,100,92
mem,"Sat, Apr 4",vs,Washington,L,83,92
mem,"Wed, Apr 8",vs,New Orleans,W,110,74
mem,"Fri, Apr 10",@,Utah,W,89,88
mem,"Sat, Apr 11",@,Los Angeles,L,86,94
mem,"Mon, Apr 13",@,Golden State,L,107,111
mem,"Wed, Apr 15",vs,Indiana,W,95,83
