team,date,a/h,opponent,w/l,s,os
mia,"Wed, Oct 29",vs,Washington,W,107,95
mia,"Sat, Nov 1",@,Philadelphia,W,114,96
mia,"Sun, Nov 2",vs,Toronto,W,107,102
mia,"Tue, Nov 4",vs,Houston,L,91,108
mia,"Wed, Nov 5",@,Charlotte,L,89,96
mia,"Sat, Nov 8",vs,Minnesota,W,102,92
mia,"Sun, Nov 9",@,Dallas,W,105,96
mia,"Wed, Nov 12",vs,Indiana,L,75,81
mia,"Fri, Nov 14",@,Atlanta,L,103,114
mia,"Sun, Nov 16",vs,Milwaukee,L,84,91
mia,"Mon, Nov 17",@,Brooklyn,W,95,83
mia,"Thu, Nov 20",vs,Los Angeles,L,93,110
mia,"Sat, Nov 22",@,Orlando,W,99,92
mia,"Sun, Nov 23",vs,Charlotte,W,94,93
mia,"Tue, Nov 25",vs,Golden State,L,97,114
mia,"Sun, Nov 30",@,NY Knicks,W,86,79
mia,"Mon, Dec 1",@,Washington,L,86,107
mia,"Wed, Dec 3",vs,Atlanta,L,102,112
mia,"Fri, Dec 5",@,Milwaukee,L,85,109
mia,"Sun, Dec 7",@,Memphis,L,87,103
mia,"Tue, Dec 9",@,Phoenix,W,103,97
mia,"Wed, Dec 10",@,Denver,L,82,102
mia,"Fri, Dec 12",@,Utah,W,100,95
mia,"Sun, Dec 14",vs,Chicago,L,75,93
mia,"Tue, Dec 16",@,Brooklyn,W,95,91
mia,"Wed, Dec 17",vs,Utah,L,87,105
mia,"Fri, Dec 19",vs,Washington,L,103,105
mia,"Sun, Dec 21",vs,Boston,W,100,84
mia,"Tue, Dec 23",vs,Philadelphia,L,87,91
mia,"Thu, Dec 25",vs,Cleveland,W,101,91
mia,"Sat, Dec 27",vs,Memphis,L,95,103
mia,"Mon, Dec 29",vs,Orlando,L,101,102
mia,"Wed, Dec 31",@,Indiana,L,95,106
mia,"Sat, Jan 3",@,Houston,L,79,115
mia,"Sun, Jan 4",vs,Brooklyn,W,88,84
mia,"Thu, Jan 8",@,Portland,L,83,99
mia,"Sun, Jan 11",@,Los Angeles,W,104,90
mia,"Tue, Jan 13",@,Los Angeles,W,78,75
mia,"Wed, Jan 14",@,Golden State,L,89,104
mia,"Fri, Jan 16",@,Sacramento,W,95,83
mia,"Tue, Jan 20",vs,Oklahoma City,L,86,94
mia,"Wed, Jan 21",@,Charlotte,L,76,78
mia,"Fri, Jan 23",vs,Indiana,W,89,87
mia,"Sun, Jan 25",@,Chicago,W,96,84
mia,"Tue, Jan 27",vs,Milwaukee,L,102,109
mia,"Fri, Jan 30",vs,Dallas,L,72,93
mia,"Sun, Feb 1",@,Boston,W,83,75
mia,"Tue, Feb 3",@,Detroit,L,91,108
mia,"Wed, Feb 4",@,Minnesota,L,101,102
mia,"Fri, Feb 6",@,San Antonio,L,85,98
mia,"Mon, Feb 9",vs,NY Knicks,W,109,95
mia,"Wed, Feb 11",@,Cleveland,L,93,113
mia,"Fri, Feb 20",@,NY Knicks,W,111,87
mia,"Sat, Feb 21",vs,New Orleans,L,91,105
mia,"Mon, Feb 23",vs,Philadelphia,W,119,108
mia,"Wed, Feb 25",@,Orlando,W,93,90
mia,"Fri, Feb 27",@,New Orleans,L,102,104
mia,"Sat, Feb 28",vs,Atlanta,L,91,93
mia,"Mon, Mar 2",vs,Phoenix,W,115,98
mia,"Wed, Mar 4",vs,Los Angeles,W,100,94
mia,"Fri, Mar 6",@,Washington,L,97,99
mia,"Sat, Mar 7",vs,Sacramento,W,114,109
mia,"Mon, Mar 9",vs,Boston,L,90,100
mia,"Wed, Mar 11",vs,Brooklyn,W,104,98
mia,"Fri, Mar 13",@,Toronto,L,92,102
mia,"Mon, Mar 16",vs,Cleveland,W,106,92
mia,"Wed, Mar 18",vs,Portland,W,108,104
mia,"Fri, Mar 20",vs,Denver,W,108,91
mia,"Sun, Mar 22",@,Oklahoma City,L,75,93
mia,"Tue, Mar 24",@,Milwaukee,L,88,89
mia,"Wed, Mar 25",@,Boston,W,93,86
mia,"Fri, Mar 27",@,Atlanta,L,86,99
mia,"Sun, Mar 29",vs,Detroit,W,109,102
mia,"Tue, Mar 31",vs,San Antonio,L,81,95
mia,"Thu, Apr 2",@,Cleveland,L,88,114
mia,"Sat, Apr 4",@,Detroit,L,98,99
mia,"Sun, Apr 5",@,Indiana,L,89,112
mia,"Tue, Apr 7",vs,Charlotte,W,105,100
mia,"Thu, Apr 9",vs,Chicago,L,78,89
mia,"Sat, Apr 11",vs,Toronto,L,104,107
mia,"Mon, Apr 13",vs,Orlando,W,100,93
mia,"Wed, Apr 15",@,Philadelphia,W,105,101
