team,date,a/h,opponent,w/l,s,os
mil,"Wed, Oct 29",@,Charlotte,L,106,108
mil,"Fri, Oct 31",vs,Philadelphia,W,93,81
mil,"Sat, Nov 1",@,Washington,L,97,108
mil,"Tue, Nov 4",@,Indiana,W,87,81
mil,"Wed, Nov 5",vs,Chicago,L,86,95
mil,"Fri, Nov 7",@,Detroit,L,95,98
mil,"Sat, Nov 8",vs,Memphis,W,93,92
mil,"Tue, Nov 11",vs,Oklahoma City,W,85,78
mil,"Fri, Nov 14",@,Orlando,L,85,101
mil,"Sun, Nov 16",@,Miami,W,91,84
mil,"Tue, Nov 18",vs,NY Knicks,W,117,113
mil,"Wed, Nov 19",@,Brooklyn,W,122,118
mil,"Fri, Nov 21",@,Toronto,L,82,124
mil,"Sat, Nov 22",vs,Washington,L,100,111
mil,"Tue, Nov 25",vs,Detroit,W,98,86
mil,"Wed, Nov 26",@,Minnesota,W,103,86
mil,"Fri, Nov 28",@,Detroit,W,104,88
mil,"Sat, Nov 29",vs,Houston,L,103,117
mil,"Tue, Dec 2",@,Cleveland,L,108,111
mil,"Wed, Dec 3",vs,Dallas,L,105,107
mil,"Fri, Dec 5",vs,Miami,W,109,85
mil,"Sun, Dec 7",@,Dallas,L,102,125
mil,"Tue, Dec 9",@,Oklahoma City,L,101,114
mil,"Sat, Dec 13",vs,Los Angeles,W,111,106
mil,"Mon, Dec 15",@,Phoenix,W,96,94
mil,"Wed, Dec 17",@,Portland,L,97,104
mil,"Thu, Dec 18",@,Sacramento,W,108,107
mil,"Sat, Dec 20",@,Los Angeles,L,102,106
mil,"Tue, Dec 23",vs,Charlotte,L,101,108
mil,"Fri, Dec 26",@,Atlanta,W,107,77
mil,"Sat, Dec 27",vs,Atlanta,L,85,90
mil,"Mon, Dec 29",@,Charlotte,W,104,94
mil,"Wed, Dec 31",@,Cleveland,W,96,80
mil,"Fri, Jan 2",vs,Indiana,L,91,94
mil,"Sun, Jan 4",@,NY Knicks,W,95,82
mil,"Tue, Jan 6",vs,Phoenix,L,96,102
mil,"Wed, Jan 7",@,Philadelphia,W,97,77
mil,"Fri, Jan 9",vs,Minnesota,W,98,84
mil,"Sat, Jan 10",@,Chicago,L,87,95
mil,"Thu, Jan 15",vs,NY Knicks,W,95,79
mil,"Mon, Jan 19",vs,Toronto,L,89,92
mil,"Thu, Jan 22",vs,Utah,L,99,101
mil,"Sat, Jan 24",vs,Detroit,W,101,86
mil,"Sun, Jan 25",@,San Antonio,L,95,101
mil,"Tue, Jan 27",@,Miami,W,109,102
mil,"Thu, Jan 29",@,Orlando,W,115,100
mil,"Sat, Jan 31",vs,Portland,W,95,88
mil,"Mon, Feb 2",@,Toronto,W,82,75
mil,"Wed, Feb 4",vs,Los Angeles,W,113,105
mil,"Fri, Feb 6",@,Houston,L,111,117
mil,"Sat, Feb 7",vs,Boston,W,96,93
mil,"Mon, Feb 9",vs,Brooklyn,W,103,97
mil,"Wed, Feb 11",vs,Sacramento,W,111,103
mil,"Fri, Feb 20",vs,Denver,W,89,81
mil,"Sun, Feb 22",vs,Atlanta,L,86,97
mil,"Mon, Feb 23",@,Chicago,L,71,87
mil,"Wed, Feb 25",vs,Philadelphia,W,104,88
mil,"Fri, Feb 27",@,Los Angeles,L,93,101
mil,"Sat, Feb 28",@,Utah,L,75,82
mil,"Tue, Mar 3",@,Denver,L,95,106
mil,"Wed, Mar 4",@,Golden State,L,93,102
mil,"Sat, Mar 7",vs,Washington,W,91,85
mil,"Mon, Mar 9",vs,New Orleans,L,103,114
mil,"Wed, Mar 11",vs,Orlando,W,97,91
mil,"Thu, Mar 12",@,Indiana,L,103,109
mil,"Sat, Mar 14",@,Memphis,L,83,96
mil,"Tue, Mar 17",@,New Orleans,L,84,85
mil,"Wed, Mar 18",vs,San Antonio,L,103,114
mil,"Fri, Mar 20",@,Brooklyn,L,127,129
mil,"Sun, Mar 22",vs,Cleveland,L,90,108
mil,"Tue, Mar 24",vs,Miami,W,89,88
mil,"Thu, Mar 26",vs,Indiana,W,111,107
mil,"Sat, Mar 28",vs,Golden State,L,95,108
mil,"Mon, Mar 30",@,Atlanta,L,88,101
mil,"Wed, Apr 1",vs,Chicago,W,95,91
mil,"Fri, Apr 3",@,Boston,W,110,101
mil,"Sat, Apr 4",vs,Orlando,L,90,97
mil,"Wed, Apr 8",vs,Cleveland,L,99,104
mil,"Fri, Apr 10",@,NY Knicks,W,99,91
mil,"Sun, Apr 12",vs,Brooklyn,W,96,73
mil,"Mon, Apr 13",@,Philadelphia,W,107,97
mil,"Wed, Apr 15",vs,Boston,L,100,105
