team,date,a/h,opponent,w/l,s,os
min,"Wed, Oct 29",@,Memphis,L,101,105
min,"Thu, Oct 30",vs,Detroit,W,97,91
min,"Sat, Nov 1",vs,Chicago,L,105,106
min,"Wed, Nov 5",@,Brooklyn,W,98,91
min,"Fri, Nov 7",@,Orlando,L,103,112
min,"Sat, Nov 8",@,Miami,L,92,102
min,"Wed, Nov 12",vs,Houston,L,101,113
min,"Fri, Nov 14",@,New Orleans,L,91,139
min,"Sat, Nov 15",@,Dallas,L,117,131
min,"Wed, Nov 19",vs,NY Knicks,W,115,99
min,"Fri, Nov 21",vs,San Antonio,L,92,121
min,"Sat, Nov 22",vs,Sacramento,L,101,113
min,"Wed, Nov 26",vs,Milwaukee,L,86,103
min,"Fri, Nov 28",@,Los Angeles,W,120,119
min,"Sun, Nov 30",@,Portland,L,93,107
min,"Mon, Dec 1",@,Los Angeles,L,101,127
min,"Wed, Dec 3",vs,Philadelphia,L,77,85
min,"Fri, Dec 5",vs,Houston,L,112,114
min,"Sat, Dec 6",@,San Antonio,L,101,123
min,"Mon, Dec 8",vs,Golden State,L,86,102
min,"Wed, Dec 10",vs,Portland,W,90,82
min,"Fri, Dec 12",vs,Oklahoma City,L,92,111
min,"Sun, Dec 14",vs,Los Angeles,L,94,100
min,"Tue, Dec 16",@,Washington,L,95,109
min,"Fri, Dec 19",@,Boston,L,98,114
min,"Sun, Dec 21",vs,Indiana,L,96,100
min,"Tue, Dec 23",@,Cleveland,L,104,125
min,"Fri, Dec 26",@,Denver,L,102,106
min,"Sat, Dec 27",@,Golden State,L,97,110
min,"Tue, Dec 30",@,Utah,L,94,100
min,"Thu, Jan 1",vs,Sacramento,L,107,110
min,"Sat, Jan 3",vs,Utah,L,89,101
min,"Mon, Jan 5",vs,Denver,L,101,110
min,"Wed, Jan 7",vs,Phoenix,L,111,113
min,"Fri, Jan 9",@,Milwaukee,L,84,98
min,"Sat, Jan 10",vs,San Antonio,L,93,108
min,"Tue, Jan 13",@,Indiana,W,110,101
min,"Fri, Jan 16",@,Phoenix,L,99,110
min,"Sat, Jan 17",@,Denver,W,113,105
min,"Mon, Jan 19",@,Charlotte,L,80,105
min,"Wed, Jan 21",vs,Dallas,L,75,98
min,"Fri, Jan 23",vs,New Orleans,L,84,92
min,"Sun, Jan 25",@,Atlanta,L,100,112
min,"Mon, Jan 26",@,Oklahoma City,L,84,92
min,"Wed, Jan 28",vs,Boston,W,110,98
min,"Fri, Jan 30",@,Philadelphia,L,94,103
min,"Sat, Jan 31",vs,Cleveland,L,90,106
min,"Mon, Feb 2",@,Dallas,L,94,100
min,"Wed, Feb 4",vs,Miami,W,102,101
min,"Fri, Feb 6",vs,Memphis,W,90,89
min,"Sun, Feb 8",@,Detroit,W,112,101
min,"Mon, Feb 9",vs,Atlanta,L,105,117
min,"Wed, Feb 11",vs,Golden State,L,91,94
min,"Fri, Feb 20",vs,Phoenix,W,111,109
min,"Mon, Feb 23",@,Houston,L,102,113
min,"Wed, Feb 25",vs,Washington,W,97,77
min,"Fri, Feb 27",@,Chicago,L,89,96
min,"Sat, Feb 28",vs,Memphis,L,97,101
min,"Mon, Mar 2",vs,Los Angeles,L,105,110
min,"Wed, Mar 4",vs,Denver,L,85,100
min,"Sat, Mar 7",vs,Portland,W,121,113
min,"Mon, Mar 9",@,Los Angeles,L,76,89
min,"Wed, Mar 11",@,Phoenix,L,97,106
min,"Fri, Mar 13",@,Oklahoma City,L,99,113
min,"Sun, Mar 15",@,San Antonio,L,97,123
min,"Mon, Mar 16",vs,Brooklyn,L,106,122
min,"Wed, Mar 18",@,Toronto,L,100,105
min,"Thu, Mar 19",@,NY Knicks,W,95,92
min,"Sun, Mar 22",vs,Charlotte,L,98,109
min,"Mon, Mar 23",@,Utah,W,106,104
min,"Wed, Mar 25",vs,Los Angeles,L,99,101
min,"Fri, Mar 27",@,Houston,L,110,120
min,"Sun, Mar 29",@,New Orleans,L,88,110
min,"Mon, Mar 30",vs,Utah,L,84,104
min,"Wed, Apr 1",vs,Toronto,L,99,113
min,"Fri, Apr 3",vs,Orlando,L,84,97
min,"Tue, Apr 7",@,Sacramento,L,111,116
min,"Wed, Apr 8",@,Portland,L,91,116
min,"Fri, Apr 10",@,Los Angeles,L,98,106
min,"Sat, Apr 11",@,Golden State,L,101,110
min,"Mon, Apr 13",vs,New Orleans,L,88,100
min,"Wed, Apr 15",vs,Oklahoma City,L,113,138
