team,date,a/h,opponent,w/l,s,os
okc,"Wed, Oct 29",@,Portland,L,89,106
okc,"Thu, Oct 30",@,Los Angeles,L,90,93
okc,"Sat, Nov 1",vs,Denver,W,102,91
okc,"Mon, Nov 3",@,Brooklyn,L,85,116
okc,"Tue, Nov 4",@,Toronto,L,88,100
okc,"Fri, Nov 7",vs,Memphis,L,89,91
okc,"Sun, Nov 9",vs,Sacramento,W,101,93
okc,"Tue, Nov 11",@,Milwaukee,L,78,85
okc,"Wed, Nov 12",@,Boston,W,109,94
okc,"Fri, Nov 14",vs,Detroit,L,89,96
okc,"Sun, Nov 16",vs,Houston,L,65,69
okc,"Tue, Nov 18",@,Utah,L,81,98
okc,"Wed, Nov 19",@,Denver,L,100,107
okc,"Fri, Nov 21",vs,Brooklyn,L,92,94
okc,"Sun, Nov 23",vs,Golden State,L,86,91
okc,"Wed, Nov 26",vs,Utah,W,97,82
okc,"Fri, Nov 28",vs,NY Knicks,W,105,78
okc,"Tue, Dec 2",@,New Orleans,L,104,112
okc,"Fri, Dec 5",@,Philadelphia,W,103,91
okc,"Sun, Dec 7",@,Detroit,W,96,94
okc,"Tue, Dec 9",vs,Milwaukee,W,114,101
okc,"Thu, Dec 11",vs,Cleveland,W,103,94
okc,"Fri, Dec 12",@,Minnesota,W,111,92
okc,"Sun, Dec 14",vs,Phoenix,W,112,88
okc,"Tue, Dec 16",@,Sacramento,W,104,92
okc,"Thu, Dec 18",@,Golden State,L,109,114
okc,"Fri, Dec 19",@,Los Angeles,W,104,103
okc,"Sun, Dec 21",vs,New Orleans,L,99,101
okc,"Tue, Dec 23",vs,Portland,L,111,115
okc,"Thu, Dec 25",@,San Antonio,W,114,106
okc,"Fri, Dec 26",vs,Charlotte,W,98,75
okc,"Sun, Dec 28",@,Dallas,L,107,112
okc,"Wed, Dec 31",vs,Phoenix,W,137,134
okc,"Fri, Jan 2",vs,Washington,W,109,102
okc,"Mon, Jan 5",@,Golden State,L,91,117
okc,"Wed, Jan 7",@,Sacramento,L,83,104
okc,"Fri, Jan 9",vs,Utah,W,99,94
okc,"Thu, Jan 15",@,Houston,L,101,112
okc,"Fri, Jan 16",vs,Golden State,W,127,115
okc,"Sun, Jan 18",@,Orlando,W,127,99
okc,"Tue, Jan 20",@,Miami,W,94,86
okc,"Wed, Jan 21",@,Washington,W,105,103
okc,"Fri, Jan 23",@,Atlanta,L,93,103
okc,"Sun, Jan 25",@,Cleveland,L,98,108
okc,"Mon, Jan 26",vs,Minnesota,W,92,84
okc,"Wed, Jan 28",@,NY Knicks,L,92,100
okc,"Sat, Jan 31",@,Memphis,L,74,85
okc,"Mon, Feb 2",vs,Orlando,W,104,97
okc,"Wed, Feb 4",@,New Orleans,W,102,91
okc,"Fri, Feb 6",vs,New Orleans,L,113,116
okc,"Sun, Feb 8",vs,Los Angeles,W,131,108
okc,"Mon, Feb 9",@,Denver,W,124,114
okc,"Wed, Feb 11",vs,Memphis,W,105,89
okc,"Thu, Feb 19",vs,Dallas,W,104,89
okc,"Sat, Feb 21",@,Charlotte,W,110,103
okc,"Sun, Feb 22",vs,Denver,W,119,94
okc,"Tue, Feb 24",vs,Indiana,W,105,92
okc,"Thu, Feb 26",@,Phoenix,L,113,117
okc,"Fri, Feb 27",@,Portland,L,112,115
okc,"Sun, Mar 1",@,Los Angeles,W,108,101
okc,"Wed, Mar 4",vs,Philadelphia,W,123,118
okc,"Thu, Mar 5",@,Chicago,L,105,108
okc,"Sun, Mar 8",vs,Toronto,W,108,104
okc,"Wed, Mar 11",vs,Los Angeles,L,108,120
okc,"Fri, Mar 13",vs,Minnesota,W,113,99
okc,"Sun, Mar 15",vs,Chicago,W,109,100
okc,"Mon, Mar 16",@,Dallas,L,115,119
okc,"Wed, Mar 18",vs,Boston,W,122,118
okc,"Fri, Mar 20",vs,Atlanta,W,123,115
okc,"Sun, Mar 22",vs,Miami,W,93,75
okc,"Tue, Mar 24",vs,Los Angeles,W,127,117
okc,"Wed, Mar 25",@,San Antonio,L,91,130
okc,"Sat, Mar 28",@,Utah,L,89,94
okc,"Sun, Mar 29",@,Phoenix,W,109,97
okc,"Wed, Apr 1",vs,Dallas,L,131,135
okc,"Fri, Apr 3",@,Memphis,L,92,100
okc,"Sun, Apr 5",vs,Houston,L,112,115
okc,"Tue, Apr 7",vs,San Antonio,L,88,113
okc,"Fri, Apr 10",vs,Sacramento,W,116,103
okc,"Sun, Apr 12",@,Indiana,L,104,116
okc,"Mon, Apr 13",vs,Portland,W,101,90
okc,"Wed, Apr 15",@,Minnesota,W,138,113
