team,date,a/h,opponent,w/l,s,os
orl,"Tue, Oct 28",@,New Orleans,L,84,101
orl,"Thu, Oct 30",vs,Washington,L,98,105
orl,"Sat, Nov 1",vs,Toronto,L,95,108
orl,"Tue, Nov 4",@,Chicago,L,90,98
orl,"Wed, Nov 5",@,Philadelphia,W,91,89
orl,"Fri, Nov 7",vs,Minnesota,W,112,103
orl,"Sun, Nov 9",@,Brooklyn,L,96,104
orl,"Tue, Nov 11",@,Toronto,L,100,104
orl,"Wed, Nov 12",@,NY Knicks,W,97,95
orl,"Fri, Nov 14",vs,Milwaukee,W,101,85
orl,"Sat, Nov 15",@,Washington,L,93,98
orl,"Mon, Nov 17",@,Detroit,W,107,93
orl,"Wed, Nov 19",vs,Los Angeles,L,90,114
orl,"Fri, Nov 21",@,Charlotte,W,105,100
orl,"Sat, Nov 22",vs,Miami,L,92,99
orl,"Mon, Nov 24",@,Cleveland,L,74,106
orl,"Wed, Nov 26",vs,Golden State,L,96,111
orl,"Fri, Nov 28",@,Indiana,L,83,98
orl,"Sun, Nov 30",@,Phoenix,W,93,90
orl,"Tue, Dec 2",@,Golden State,L,97,98
orl,"Wed, Dec 3",@,Los Angeles,L,86,114
orl,"Fri, Dec 5",@,Utah,W,98,93
orl,"Sat, Dec 6",@,Sacramento,W,105,96
orl,"Wed, Dec 10",vs,Washington,L,89,91
orl,"Fri, Dec 12",@,Atlanta,L,81,87
orl,"Sat, Dec 13",vs,Atlanta,W,100,99
orl,"Mon, Dec 15",@,Toronto,L,82,95
orl,"Wed, Dec 17",@,Boston,L,92,109
orl,"Fri, Dec 19",vs,Utah,L,94,101
orl,"Sun, Dec 21",vs,Philadelphia,L,88,96
orl,"Tue, Dec 23",vs,Boston,W,100,95
orl,"Fri, Dec 26",vs,Cleveland,L,89,98
orl,"Sat, Dec 27",@,Charlotte,W,102,94
orl,"Mon, Dec 29",@,Miami,W,102,101
orl,"Tue, Dec 30",vs,Detroit,L,86,109
orl,"Fri, Jan 2",vs,Brooklyn,L,98,100
orl,"Sat, Jan 3",vs,Charlotte,L,90,98
orl,"Wed, Jan 7",@,Denver,L,90,93
orl,"Fri, Jan 9",@,Los Angeles,L,84,101
orl,"Sat, Jan 10",@,Portland,L,92,103
orl,"Mon, Jan 12",@,Chicago,W,121,114
orl,"Wed, Jan 14",vs,Houston,W,120,113
orl,"Fri, Jan 16",vs,Memphis,L,96,106
orl,"Sun, Jan 18",vs,Oklahoma City,L,99,127
orl,"Wed, Jan 21",@,Detroit,L,118,128
orl,"Fri, Jan 23",@,NY Knicks,L,106,113
orl,"Sun, Jan 25",vs,Indiana,L,99,106
orl,"Mon, Jan 26",@,Memphis,L,94,103
orl,"Thu, Jan 29",vs,Milwaukee,L,100,115
orl,"Sat, Jan 31",vs,Dallas,L,93,108
orl,"Mon, Feb 2",@,Oklahoma City,L,97,104
orl,"Wed, Feb 4",@,San Antonio,L,103,110
orl,"Fri, Feb 6",vs,Los Angeles,W,103,97
orl,"Sun, Feb 8",vs,Chicago,L,97,98
orl,"Mon, Feb 9",@,Washington,L,80,96
orl,"Wed, Feb 11",vs,NY Knicks,W,89,83
orl,"Fri, Feb 20",vs,New Orleans,W,95,84
orl,"Sun, Feb 22",vs,Philadelphia,W,103,98
orl,"Wed, Feb 25",vs,Miami,L,90,93
orl,"Fri, Feb 27",@,Atlanta,L,88,95
orl,"Sun, Mar 1",vs,Charlotte,L,83,98
orl,"Wed, Mar 4",vs,Phoenix,L,100,105
orl,"Fri, Mar 6",vs,Sacramento,W,119,114
orl,"Sun, Mar 8",vs,Boston,W,103,98
orl,"Tue, Mar 10",@,Indiana,L,86,118
orl,"Wed, Mar 11",@,Milwaukee,L,91,97
orl,"Fri, Mar 13",@,Boston,L,88,95
orl,"Sun, Mar 15",vs,Cleveland,L,108,123
orl,"Tue, Mar 17",@,Houston,L,94,107
orl,"Wed, Mar 18",@,Dallas,L,102,107
orl,"Fri, Mar 20",vs,Portland,W,111,104
orl,"Sun, Mar 22",vs,Denver,L,100,119
orl,"Wed, Mar 25",vs,Atlanta,L,83,95
orl,"Fri, Mar 27",vs,Detroit,L,97,111
orl,"Wed, Apr 1",vs,San Antonio,L,91,103
orl,"Fri, Apr 3",@,Minnesota,W,97,84
orl,"Sat, Apr 4",@,Milwaukee,W,97,90
orl,"Wed, Apr 8",vs,Chicago,W,105,103
orl,"Fri, Apr 10",vs,Toronto,L,99,101
orl,"Sat, Apr 11",vs,NY Knicks,L,79,80
orl,"Mon, Apr 13",@,Miami,L,93,100
orl,"Wed, Apr 15",@,Brooklyn,L,88,101
