team,date,a/h,opponent,w/l,s,os
por,"Wed, Oct 29",vs,Oklahoma City,W,106,89
por,"Fri, Oct 31",@,Sacramento,L,94,103
por,"Sun, Nov 2",vs,Golden State,L,90,95
por,"Tue, Nov 4",vs,Cleveland,W,101,82
por,"Thu, Nov 6",vs,Dallas,W,108,87
por,"Sat, Nov 8",@,Los Angeles,L,102,106
por,"Sun, Nov 9",vs,Denver,W,116,100
por,"Tue, Nov 11",vs,Charlotte,W,102,100
por,"Wed, Nov 12",@,Denver,W,130,113
por,"Sat, Nov 15",vs,Brooklyn,W,97,87
por,"Mon, Nov 17",vs,New Orleans,W,102,93
por,"Fri, Nov 21",vs,Chicago,W,105,87
por,"Sun, Nov 23",@,Boston,W,94,88
por,"Mon, Nov 24",@,Philadelphia,W,114,104
por,"Wed, Nov 26",@,Charlotte,W,105,97
por,"Fri, Nov 28",vs,Memphis,L,99,112
por,"Sun, Nov 30",vs,Minnesota,W,107,93
por,"Tue, Dec 2",@,Denver,W,105,103
por,"Thu, Dec 4",vs,Indiana,W,88,82
por,"Sun, Dec 7",@,NY Knicks,W,103,99
por,"Tue, Dec 9",@,Detroit,W,98,86
por,"Wed, Dec 10",@,Minnesota,L,82,90
por,"Fri, Dec 12",@,Chicago,L,106,115
por,"Sat, Dec 13",@,Indiana,W,95,85
por,"Mon, Dec 15",vs,San Antonio,W,108,95
por,"Wed, Dec 17",vs,Milwaukee,W,104,97
por,"Fri, Dec 19",@,San Antonio,W,129,119
por,"Sat, Dec 20",@,New Orleans,W,114,88
por,"Mon, Dec 22",@,Houston,L,95,110
por,"Tue, Dec 23",@,Oklahoma City,W,115,111
por,"Fri, Dec 26",vs,Philadelphia,W,114,93
por,"Sun, Dec 28",vs,NY Knicks,W,101,79
por,"Tue, Dec 30",vs,Toronto,W,102,97
por,"Sat, Jan 3",vs,Atlanta,L,107,115
por,"Mon, Jan 5",vs,Los Angeles,W,98,94
por,"Thu, Jan 8",vs,Miami,W,99,83
por,"Sat, Jan 10",vs,Orlando,W,103,92
por,"Sun, Jan 11",@,Los Angeles,W,106,94
por,"Wed, Jan 14",vs,Los Angeles,L,94,100
por,"Fri, Jan 16",@,San Antonio,L,96,110
por,"Sat, Jan 17",@,Memphis,L,98,102
por,"Mon, Jan 19",vs,Sacramento,W,98,94
por,"Wed, Jan 21",@,Phoenix,L,113,118
por,"Thu, Jan 22",vs,Boston,L,89,90
por,"Sat, Jan 24",vs,Washington,W,103,96
por,"Mon, Jan 26",@,Brooklyn,W,103,96
por,"Wed, Jan 28",@,Cleveland,L,94,99
por,"Fri, Jan 30",@,Atlanta,L,99,105
por,"Sat, Jan 31",@,Milwaukee,L,88,95
por,"Tue, Feb 3",vs,Utah,W,103,102
por,"Thu, Feb 5",vs,Phoenix,W,108,87
por,"Sat, Feb 7",@,Dallas,L,101,111
por,"Sun, Feb 8",@,Houston,W,109,98
por,"Wed, Feb 11",vs,Los Angeles,W,102,86
por,"Fri, Feb 20",@,Utah,L,76,92
por,"Sun, Feb 22",vs,Memphis,L,92,98
por,"Wed, Feb 25",vs,San Antonio,W,111,95
por,"Fri, Feb 27",vs,Oklahoma City,W,115,112
por,"Sun, Mar 1",@,Sacramento,W,110,99
por,"Wed, Mar 4",@,Los Angeles,W,98,93
por,"Thu, Mar 5",vs,Dallas,W,94,75
por,"Sat, Mar 7",@,Minnesota,L,113,121
por,"Wed, Mar 11",vs,Houston,W,105,100
por,"Fri, Mar 13",vs,Detroit,W,118,99
por,"Sun, Mar 15",@,Toronto,W,113,97
por,"Mon, Mar 16",@,Washington,L,97,105
por,"Wed, Mar 18",@,Miami,L,104,108
por,"Fri, Mar 20",@,Orlando,L,104,111
por,"Sat, Mar 21",@,Memphis,L,86,97
por,"Tue, Mar 24",vs,Golden State,L,108,122
por,"Wed, Mar 25",@,Utah,W,92,89
por,"Fri, Mar 27",@,Phoenix,W,87,81
por,"Sat, Mar 28",vs,Denver,W,120,114
por,"Mon, Mar 30",vs,Phoenix,W,109,86
por,"Wed, Apr 1",vs,Los Angeles,L,122,126
por,"Fri, Apr 3",@,Los Angeles,W,107,77
por,"Sat, Apr 4",vs,New Orleans,W,99,90
por,"Mon, Apr 6",@,Brooklyn,L,96,106
por,"Wed, Apr 8",vs,Minnesota,W,116,91
por,"Thu, Apr 9",@,Golden State,L,105,116
por,"Sat, Apr 11",vs,Utah,L,105,111
por,"Mon, Apr 13",@,Oklahoma City,L,90,101
por,"Wed, Apr 15",@,Dallas,L,98,114
