team,date,a/h,opponent,w/l,s,os
sac,"Wed, Oct 29",vs,Golden State,L,77,95
sac,"Fri, Oct 31",vs,Portland,W,103,94
sac,"Sun, Nov 2",@,Los Angeles,W,98,92
sac,"Mon, Nov 3",@,Denver,W,110,105
sac,"Wed, Nov 5",vs,Denver,W,131,109
sac,"Fri, Nov 7",@,Phoenix,W,114,112
sac,"Sun, Nov 9",@,Oklahoma City,L,93,101
sac,"Tue, Nov 11",@,Dallas,L,98,106
sac,"Thu, Nov 13",@,Memphis,L,110,111
sac,"Sat, Nov 15",vs,San Antonio,W,94,91
sac,"Tue, Nov 18",vs,New Orleans,L,100,106
sac,"Thu, Nov 20",vs,Chicago,W,103,88
sac,"Sat, Nov 22",@,Minnesota,W,113,101
sac,"Tue, Nov 25",@,New Orleans,W,99,89
sac,"Wed, Nov 26",@,Houston,L,89,102
sac,"Fri, Nov 28",@,San Antonio,L,104,112
sac,"Sun, Nov 30",vs,Memphis,L,85,97
sac,"Tue, Dec 2",vs,Toronto,L,109,117
sac,"Fri, Dec 5",vs,Indiana,W,102,101
sac,"Sat, Dec 6",vs,Orlando,L,96,105
sac,"Mon, Dec 8",vs,Utah,W,101,92
sac,"Tue, Dec 9",@,Los Angeles,L,95,98
sac,"Thu, Dec 11",vs,Houston,L,109,113
sac,"Sat, Dec 13",vs,Detroit,L,90,95
sac,"Tue, Dec 16",vs,Oklahoma City,L,92,104
sac,"Thu, Dec 18",vs,Milwaukee,L,107,108
sac,"Sun, Dec 21",vs,Los Angeles,W,108,101
sac,"Mon, Dec 22",@,Golden State,L,108,128
sac,"Fri, Dec 26",vs,Phoenix,L,106,115
sac,"Sat, Dec 27",vs,NY Knicks,W,135,129
sac,"Mon, Dec 29",@,Brooklyn,L,99,107
sac,"Wed, Dec 31",@,Boston,L,84,106
sac,"Thu, Jan 1",@,Minnesota,W,110,107
sac,"Sun, Jan 4",@,Detroit,L,95,114
sac,"Wed, Jan 7",vs,Oklahoma City,W,104,83
sac,"Fri, Jan 9",vs,Denver,L,108,118
sac,"Sun, Jan 11",vs,Cleveland,W,103,84
sac,"Tue, Jan 13",vs,Dallas,L,104,108
sac,"Fri, Jan 16",vs,Miami,L,83,95
sac,"Sat, Jan 17",vs,Los Angeles,L,108,117
sac,"Mon, Jan 19",@,Portland,L,94,98
sac,"Wed, Jan 21",vs,Brooklyn,L,100,103
sac,"Fri, Jan 23",@,Golden State,L,101,126
sac,"Mon, Jan 26",@,NY Knicks,L,101,126
sac,"Wed, Jan 28",@,Toronto,L,102,119
sac,"Fri, Jan 30",@,Cleveland,L,90,101
sac,"Sat, Jan 31",@,Indiana,W,99,94
sac,"Tue, Feb 3",vs,Golden State,L,96,121
sac,"Thu, Feb 5",vs,Dallas,L,78,101
sac,"Sat, Feb 7",@,Utah,L,90,102
sac,"Sun, Feb 8",vs,Phoenix,W,85,83
sac,"Tue, Feb 10",@,Chicago,L,86,104
sac,"Wed, Feb 11",@,Milwaukee,L,103,111
sac,"Fri, Feb 20",vs,Boston,W,109,101
sac,"Sat, Feb 21",@,Los Angeles,L,99,126
sac,"Wed, Feb 25",vs,Memphis,W,102,90
sac,"Fri, Feb 27",vs,San Antonio,L,96,107
sac,"Sun, Mar 1",vs,Portland,L,99,110
sac,"Tue, Mar 3",@,NY Knicks,W,124,86
sac,"Wed, Mar 4",@,San Antonio,L,85,112
sac,"Fri, Mar 6",@,Orlando,L,114,119
sac,"Sat, Mar 7",@,Miami,L,109,114
sac,"Mon, Mar 9",@,Atlanta,L,105,130
sac,"Wed, Mar 11",@,Charlotte,W,113,106
sac,"Fri, Mar 13",@,Philadelphia,L,107,114
sac,"Sat, Mar 14",@,Washington,L,97,113
sac,"Mon, Mar 16",vs,Atlanta,L,103,110
sac,"Wed, Mar 18",vs,Los Angeles,L,105,116
sac,"Fri, Mar 20",vs,Charlotte,W,101,91
sac,"Sun, Mar 22",vs,Washington,W,109,86
sac,"Tue, Mar 24",vs,Philadelphia,W,107,106
sac,"Wed, Mar 25",@,Phoenix,W,108,99
sac,"Fri, Mar 27",@,New Orleans,L,88,102
sac,"Mon, Mar 30",@,Memphis,L,83,97
sac,"Wed, Apr 1",@,Houston,L,111,115
sac,"Fri, Apr 3",vs,New Orleans,L,95,101
sac,"Sun, Apr 5",vs,Utah,L,95,101
sac,"Tue, Apr 7",vs,Minnesota,W,116,111
sac,"Wed, Apr 8",@,Utah,L,91,103
sac,"Fri, Apr 10",@,Oklahoma City,L,103,116
sac,"Sun, Apr 12",@,Denver,L,111,122
sac,"Mon, Apr 13",vs,Los Angeles,W,102,92
sac,"Wed, Apr 15",@,Los Angeles,W,122,99
