team,date,a/h,opponent,w/l,s,os
utah,"Wed, Oct 29",vs,Houston,L,93,104
utah,"Thu, Oct 30",@,Dallas,L,102,120
utah,"Sat, Nov 1",vs,Phoenix,W,118,91
utah,"Mon, Nov 3",@,Los Angeles,L,101,107
utah,"Wed, Nov 5",vs,Cleveland,W,102,100
utah,"Fri, Nov 7",vs,Dallas,L,82,105
utah,"Sun, Nov 9",@,Detroit,W,97,96
utah,"Mon, Nov 10",@,Indiana,L,86,97
utah,"Wed, Nov 12",@,Atlanta,L,97,100
utah,"Fri, Nov 14",@,NY Knicks,W,102,100
utah,"Sat, Nov 15",@,Toronto,L,93,111
utah,"Tue, Nov 18",vs,Oklahoma City,W,98,81
utah,"Fri, Nov 21",@,Golden State,L,88,101
utah,"Sat, Nov 22",vs,New Orleans,L,94,106
utah,"Mon, Nov 24",vs,Chicago,L,95,97
utah,"Wed, Nov 26",@,Oklahoma City,L,82,97
utah,"Sat, Nov 29",vs,Los Angeles,L,96,112
utah,"Mon, Dec 1",vs,Denver,L,101,103
utah,"Wed, Dec 3",vs,Toronto,L,104,123
utah,"Fri, Dec 5",vs,Orlando,L,93,98
utah,"Mon, Dec 8",@,Sacramento,L,92,101
utah,"Tue, Dec 9",vs,San Antonio,W,100,96
utah,"Fri, Dec 12",vs,Miami,L,95,100
utah,"Sun, Dec 14",@,Washington,L,84,93
utah,"Tue, Dec 16",@,New Orleans,L,111,119
utah,"Wed, Dec 17",@,Miami,W,105,87
utah,"Fri, Dec 19",@,Orlando,W,101,94
utah,"Sat, Dec 20",@,Charlotte,L,86,104
utah,"Mon, Dec 22",@,Memphis,W,97,91
utah,"Sat, Dec 27",vs,Philadelphia,W,88,71
utah,"Mon, Dec 29",@,Los Angeles,L,97,101
utah,"Tue, Dec 30",vs,Minnesota,W,100,94
utah,"Fri, Jan 2",vs,Atlanta,L,92,98
utah,"Sat, Jan 3",@,Minnesota,W,101,89
utah,"Mon, Jan 5",vs,Indiana,L,101,105
utah,"Wed, Jan 7",@,Chicago,W,97,77
utah,"Fri, Jan 9",@,Oklahoma City,L,94,99
utah,"Sat, Jan 10",@,Houston,L,82,97
utah,"Tue, Jan 13",vs,Golden State,L,105,116
utah,"Fri, Jan 16",vs,Los Angeles,W,94,85
utah,"Sun, Jan 18",@,San Antonio,L,69,89
utah,"Wed, Jan 21",@,Cleveland,L,92,106
utah,"Thu, Jan 22",@,Milwaukee,W,101,99
utah,"Sat, Jan 24",vs,Brooklyn,W,108,73
utah,"Mon, Jan 26",vs,Boston,L,90,99
utah,"Wed, Jan 28",vs,Los Angeles,L,89,94
utah,"Fri, Jan 30",vs,Golden State,W,110,100
utah,"Tue, Feb 3",@,Portland,L,102,103
utah,"Wed, Feb 4",vs,Memphis,L,90,100
utah,"Fri, Feb 6",@,Phoenix,L,93,100
utah,"Sat, Feb 7",vs,Sacramento,W,102,90
utah,"Mon, Feb 9",@,New Orleans,W,100,96
utah,"Wed, Feb 11",@,Dallas,L,82,87
utah,"Fri, Feb 20",vs,Portland,W,92,76
utah,"Mon, Feb 23",vs,San Antonio,W,90,81
utah,"Wed, Feb 25",vs,Los Angeles,L,97,100
utah,"Fri, Feb 27",@,Denver,W,104,82
utah,"Sat, Feb 28",vs,Milwaukee,W,82,75
utah,"Tue, Mar 3",@,Memphis,W,93,82
utah,"Wed, Mar 4",@,Boston,L,84,85
utah,"Fri, Mar 6",@,Philadelphia,W,89,83
utah,"Sun, Mar 8",@,Brooklyn,W,95,88
utah,"Tue, Mar 10",vs,NY Knicks,W,87,82
utah,"Thu, Mar 12",vs,Houston,W,109,91
utah,"Sat, Mar 14",vs,Detroit,W,88,85
utah,"Mon, Mar 16",vs,Charlotte,W,94,66
utah,"Wed, Mar 18",vs,Washington,L,84,88
utah,"Thu, Mar 19",@,Los Angeles,W,80,73
utah,"Sat, Mar 21",@,Golden State,L,91,106
utah,"Mon, Mar 23",vs,Minnesota,L,104,106
utah,"Wed, Mar 25",vs,Portland,L,89,92
utah,"Fri, Mar 27",@,Denver,L,91,107
utah,"Sat, Mar 28",vs,Oklahoma City,W,94,89
utah,"Mon, Mar 30",@,Minnesota,W,104,84
utah,"Wed, Apr 1",vs,Denver,W,98,84
utah,"Sat, Apr 4",@,Phoenix,L,85,87
utah,"Sun, Apr 5",@,Sacramento,W,101,95
utah,"Wed, Apr 8",vs,Sacramento,W,103,91
utah,"Fri, Apr 10",vs,Memphis,L,88,89
utah,"Sat, Apr 11",@,Portland,W,111,105
utah,"Mon, Apr 13",vs,Dallas,W,109,92
utah,"Wed, Apr 15",@,Houston,L,91,117
