team,date,a/h,opponent,w/l,s,os
wsh,"Wed, Oct 29",@,Miami,L,95,107
wsh,"Thu, Oct 30",@,Orlando,W,105,98
wsh,"Sat, Nov 1",vs,Milwaukee,W,108,97
wsh,"Tue, Nov 4",@,NY Knicks,W,98,83
wsh,"Wed, Nov 5",vs,Indiana,W,96,94
wsh,"Fri, Nov 7",@,Toronto,L,84,103
wsh,"Sat, Nov 8",@,Indiana,W,97,90
wsh,"Wed, Nov 12",vs,Detroit,W,107,103
wsh,"Sat, Nov 15",vs,Orlando,W,98,93
wsh,"Wed, Nov 19",vs,Dallas,L,102,105
wsh,"Fri, Nov 21",vs,Cleveland,W,91,78
wsh,"Sat, Nov 22",@,Milwaukee,W,111,100
wsh,"Tue, Nov 25",vs,Atlanta,L,102,106
wsh,"Wed, Nov 26",@,Cleveland,L,87,113
wsh,"Sat, Nov 29",vs,New Orleans,W,83,80
wsh,"Mon, Dec 1",vs,Miami,W,107,86
wsh,"Wed, Dec 3",vs,Los Angeles,W,111,95
wsh,"Fri, Dec 5",vs,Denver,W,119,89
wsh,"Sun, Dec 7",@,Boston,L,93,101
wsh,"Mon, Dec 8",vs,Boston,W,133,132
wsh,"Wed, Dec 10",@,Orlando,W,91,89
wsh,"Fri, Dec 12",vs,Los Angeles,W,104,96
wsh,"Sun, Dec 14",vs,Utah,W,93,84
wsh,"Tue, Dec 16",vs,Minnesota,W,109,95
wsh,"Fri, Dec 19",@,Miami,W,105,103
wsh,"Sun, Dec 21",vs,Phoenix,L,92,104
wsh,"Tue, Dec 23",vs,Chicago,L,91,99
wsh,"Thu, Dec 25",@,NY Knicks,W,102,91
wsh,"Sat, Dec 27",vs,Boston,W,101,88
wsh,"Mon, Dec 29",@,Houston,W,104,103
wsh,"Tue, Dec 30",@,Dallas,L,87,114
wsh,"Fri, Jan 2",@,Oklahoma City,L,102,109
wsh,"Sat, Jan 3",@,San Antonio,L,92,101
wsh,"Mon, Jan 5",@,New Orleans,W,92,85
wsh,"Wed, Jan 7",vs,NY Knicks,W,101,91
wsh,"Fri, Jan 9",vs,Chicago,W,102,86
wsh,"Sun, Jan 11",@,Atlanta,L,89,120
wsh,"Tue, Jan 13",vs,San Antonio,W,101,93
wsh,"Wed, Jan 14",@,Chicago,W,105,99
wsh,"Fri, Jan 16",vs,Brooklyn,L,80,102
wsh,"Sat, Jan 17",@,Brooklyn,W,99,90
wsh,"Mon, Jan 19",vs,Philadelphia,W,111,76
wsh,"Wed, Jan 21",vs,Oklahoma City,L,103,105
wsh,"Sat, Jan 24",@,Portland,L,96,103
wsh,"Sun, Jan 25",@,Denver,W,117,115
wsh,"Tue, Jan 27",@,Los Angeles,W,98,92
wsh,"Wed, Jan 28",@,Phoenix,L,98,106
wsh,"Sat, Jan 31",vs,Toronto,L,116,120
wsh,"Mon, Feb 2",vs,Charlotte,L,88,92
wsh,"Wed, Feb 4",@,Atlanta,L,96,105
wsh,"Thu, Feb 5",@,Charlotte,L,87,94
wsh,"Sat, Feb 7",vs,Brooklyn,W,114,77
wsh,"Mon, Feb 9",vs,Orlando,W,96,80
wsh,"Wed, Feb 11",@,Toronto,L,93,95
wsh,"Fri, Feb 20",vs,Cleveland,L,89,127
wsh,"Sun, Feb 22",@,Detroit,L,89,106
wsh,"Tue, Feb 24",vs,Golden State,L,107,114
wsh,"Wed, Feb 25",@,Minnesota,L,77,97
wsh,"Fri, Feb 27",@,Philadelphia,L,81,89
wsh,"Sat, Feb 28",vs,Detroit,W,99,95
wsh,"Tue, Mar 3",@,Chicago,L,92,97
wsh,"Fri, Mar 6",vs,Miami,W,99,97
wsh,"Sat, Mar 7",@,Milwaukee,L,85,91
wsh,"Mon, Mar 9",@,Charlotte,W,95,69
wsh,"Thu, Mar 12",vs,Memphis,W,107,87
wsh,"Sat, Mar 14",vs,Sacramento,W,113,97
wsh,"Mon, Mar 16",vs,Portland,W,105,97
wsh,"Wed, Mar 18",@,Utah,W,88,84
wsh,"Fri, Mar 20",@,Los Angeles,L,99,113
wsh,"Sun, Mar 22",@,Sacramento,L,86,109
wsh,"Mon, Mar 23",@,Golden State,L,76,107
wsh,"Wed, Mar 25",vs,Indiana,L,101,103
wsh,"Fri, Mar 27",vs,Charlotte,W,110,107
wsh,"Sun, Mar 29",vs,Houston,L,91,99
wsh,"Wed, Apr 1",vs,Philadelphia,W,106,93
wsh,"Fri, Apr 3",vs,NY Knicks,W,101,87
wsh,"Sat, Apr 4",@,Memphis,W,92,83
wsh,"Wed, Apr 8",@,Philadelphia,W,119,90
wsh,"Fri, Apr 10",@,Brooklyn,L,80,117
wsh,"Sun, Apr 12",vs,Atlanta,W,108,99
wsh,"Tue, Apr 14",@,Indiana,L,95,99
wsh,"Wed, Apr 15",@,Cleveland,L,108,113
