team,date,a/h,opponent,w/l,s,os
atl,"Tue, Oct 27",vs,Detroit,L,94,106
atl,"Thu, Oct 29",@,NY Knicks,W,112,101
atl,"Fri, Oct 30",vs,Charlotte,W,97,94
atl,"Sun, Nov 1",@,Charlotte,W,94,92
atl,"Tue, Nov 3",@,Miami,W,98,92
atl,"Wed, Nov 4",vs,Brooklyn,W,101,87
atl,"Fri, Nov 6",@,New Orleans,W,121,115
atl,"Sat, Nov 7",vs,Washington,W,114,99
atl,"Mon, Nov 9",vs,Minnesota,L,107,117
atl,"Wed, Nov 11",vs,New Orleans,W,106,98
atl,"Fri, Nov 13",@,Boston,L,93,106
atl,"Sun, Nov 15",vs,Utah,L,96,97
atl,"Tue, Nov 17",@,Brooklyn,L,88,90
atl,"Wed, Nov 18",vs,Sacramento,W,103,97
atl,"Sat, Nov 21",@,Cleveland,L,97,109
atl,"Tue, Nov 24",vs,Boston,W,121,97
atl,"Wed, Nov 25",@,Minnesota,L,95,99
atl,"Fri, Nov 27",@,Memphis,W,116,101
atl,"Sat, Nov 28",@,San Antonio,L,88,108
atl,"Mon, Nov 30",vs,Oklahoma City,W,106,100
atl,"Wed, Dec 2",vs,Toronto,L,86,96
atl,"Fri, Dec 4",vs,Los Angeles,W,100,87
atl,"Wed, Dec 9",@,Dallas,W,98,95
atl,"Thu, Dec 10",@,Oklahoma City,L,94,107
atl,"Sat, Dec 12",vs,San Antonio,L,78,103
atl,"Mon, Dec 14",vs,Miami,L,88,100
atl,"Wed, Dec 16",vs,Philadelphia,W,127,106
atl,"Fri, Dec 18",@,Boston,W,109,101
atl,"Sun, Dec 20",@,Orlando,W,103,100
atl,"Mon, Dec 21",vs,Portland,W,106,97
atl,"Wed, Dec 23",vs,Detroit,W,107,100
atl,"Sat, Dec 26",vs,NY Knicks,W,117,98
atl,"Mon, Dec 28",@,Indiana,L,87,93
atl,"Tue, Dec 29",@,Houston,W,121,115
atl,"Sun, Jan 3",@,NY Knicks,L,97,111
atl,"Tue, Jan 5",vs,NY Knicks,L,101,107
atl,"Thu, Jan 7",@,Philadelphia,W,126,98
atl,"Sat, Jan 9",vs,Chicago,W,120,105
atl,"Wed, Jan 13",@,Charlotte,L,84,107
atl,"Fri, Jan 15",@,Milwaukee,L,101,108
atl,"Sat, Jan 16",vs,Brooklyn,W,114,86
atl,"Mon, Jan 18",vs,Orlando,W,98,81
atl,"Wed, Jan 20",@,Portland,W,104,98
atl,"Thu, Jan 21",@,Sacramento,L,88,91
atl,"Sat, Jan 23",@,Phoenix,L,95,98
atl,"Mon, Jan 25",@,Denver,W,119,105
atl,"Wed, Jan 27",vs,Los Angeles,L,83,85
atl,"Thu, Jan 28",@,Indiana,L,92,111
atl,"Sun, Jan 31",@,Miami,L,87,105
atl,"Mon, Feb 1",vs,Dallas,W,112,97
atl,"Wed, Feb 3",@,Philadelphia,W,124,86
atl,"Fri, Feb 5",vs,Indiana,W,102,96
atl,"Sun, Feb 7",@,Orlando,L,94,96
atl,"Mon, Feb 8",vs,Orlando,L,110,117
atl,"Wed, Feb 10",@,Chicago,W,113,90
atl,"Fri, Feb 19",vs,Miami,L,111,115
atl,"Sat, Feb 20",vs,Milwaukee,L,109,117
atl,"Mon, Feb 22",vs,Golden State,L,92,102
atl,"Fri, Feb 26",vs,Chicago,L,92,102
atl,"Sun, Feb 28",vs,Charlotte,L,92,102
atl,"Tue, Mar 1",@,Golden State,L,92,102
atl,"Fri, Mar 4",@,Los Angeles,L,92,102
atl,"Sat, Mar 5",@,Los Angeles,L,92,102
atl,"Tue, Mar 8",@,Utah,L,92,102
atl,"Thu, Mar 10",@,Toronto,L,92,102
atl,"Sat, Mar 12",vs,Memphis,L,92,102
atl,"Sun, Mar 13",vs,Indiana,L,92,102
atl,"Wed, Mar 16",@,Detroit,L,92,102
atl,"Thu, Mar 17",vs,Denver,L,92,102
atl,"Sat, Mar 19",vs,Houston,L,92,102
atl,"Mon, Mar 21",vs,Washington,L,92,102
atl,"Wed, Mar 23",@,Washington,L,92,102
atl,"Fri, Mar 25",vs,Milwaukee,L,92,102
atl,"Sat, Mar 26",@,Detroit,L,92,102
atl,"Mon, Mar 28",@,Chicago,L,92,102
atl,"Wed, Mar 30",@,Toronto,L,92,102
atl,"Fri, Apr 1",vs,Cleveland,L,92,102
atl,"Tue, Apr 5",vs,Phoenix,L,92,102
atl,"Thu, Apr 7",vs,Toronto,L,92,102
atl,"Sat, Apr 9",vs,Boston,L,92,102
atl,"Mon, Apr 11",@,Cleveland,L,92,102
atl,"Wed, Apr 13",@,Washington,L,92,102
