team,date,a/h,opponent,w/l,s,os
cha,"Wed, Oct 28",@,Miami,L,94,104
cha,"Fri, Oct 30",@,Atlanta,L,94,97
cha,"Sun, Nov 1",vs,Atlanta,L,92,94
cha,"Tue, Nov 3",vs,Chicago,W,130,105
cha,"Thu, Nov 5",@,Dallas,W,108,94
cha,"Sat, Nov 7",@,San Antonio,L,94,114
cha,"Tue, Nov 10",@,Minnesota,W,104,95
cha,"Wed, Nov 11",vs,NY Knicks,W,95,93
cha,"Fri, Nov 13",@,Chicago,L,97,102
cha,"Sun, Nov 15",vs,Portland,W,106,94
cha,"Tue, Nov 17",@,NY Knicks,L,94,102
cha,"Wed, Nov 18",vs,Brooklyn,W,116,111
cha,"Fri, Nov 20",vs,Philadelphia,W,113,88
cha,"Mon, Nov 23",vs,Sacramento,W,127,122
cha,"Wed, Nov 25",vs,Washington,W,101,87
cha,"Fri, Nov 27",vs,Cleveland,L,90,95
cha,"Sun, Nov 29",vs,Milwaukee,W,87,82
cha,"Wed, Dec 2",vs,Golden State,L,99,116
cha,"Sat, Dec 5",@,Chicago,W,102,96
cha,"Mon, Dec 7",vs,Detroit,W,104,84
cha,"Wed, Dec 9",vs,Miami,W,99,81
cha,"Fri, Dec 11",@,Memphis,W,123,99
cha,"Sat, Dec 12",vs,Boston,L,93,98
cha,"Wed, Dec 16",@,Orlando,L,98,113
cha,"Thu, Dec 17",vs,Toronto,W,109,99
cha,"Sat, Dec 19",@,Washington,L,101,109
cha,"Mon, Dec 21",@,Houston,L,95,102
cha,"Wed, Dec 23",vs,Boston,L,89,102
cha,"Sat, Dec 26",vs,Memphis,W,98,92
cha,"Mon, Dec 28",vs,Los Angeles,W,108,98
cha,"Wed, Dec 30",vs,Los Angeles,L,117,122
cha,"Fri, Jan 1",@,Toronto,L,94,104
cha,"Sat, Jan 2",vs,Oklahoma City,L,90,109
cha,"Mon, Jan 4",@,Golden State,L,101,111
cha,"Wed, Jan 6",@,Phoenix,L,102,111
cha,"Sat, Jan 9",@,Los Angeles,L,83,97
cha,"Sun, Jan 10",@,Denver,L,92,95
cha,"Wed, Jan 13",vs,Atlanta,W,107,84
cha,"Fri, Jan 15",@,New Orleans,L,107,109
cha,"Sat, Jan 16",vs,Milwaukee,L,92,105
cha,"Mon, Jan 18",vs,Utah,W,124,119
cha,"Wed, Jan 20",@,Oklahoma City,L,95,109
cha,"Fri, Jan 22",@,Orlando,W,120,116
cha,"Sat, Jan 23",vs,NY Knicks,W,97,84
cha,"Mon, Jan 25",@,Sacramento,W,129,128
cha,"Wed, Jan 27",@,Utah,L,73,102
cha,"Fri, Jan 29",@,Portland,L,91,109
cha,"Sun, Jan 31",@,Los Angeles,W,101,82
cha,"Wed, Feb 3",vs,Cleveland,W,106,97
cha,"Fri, Feb 5",vs,Miami,L,95,98
cha,"Sat, Feb 6",vs,Washington,W,108,104
cha,"Mon, Feb 8",vs,Chicago,W,108,91
cha,"Wed, Feb 10",@,Indiana,W,117,95
cha,"Fri, Feb 19",@,Milwaukee,W,98,95
cha,"Sun, Feb 21",@,Brooklyn,W,104,96
cha,"Wed, Feb 24",@,Cleveland,L,103,114
cha,"Fri, Feb 26",@,Indiana,W,96,95
cha,"Sun, Feb 28",@,Atlanta,L,76,87
cha,"Tue, Mar 1",,,,,
cha,"Wed, Mar 2",@,Philadelphia,,,
cha,"Fri, Mar 4",vs,Indiana,,,
cha,"Mon, Mar 7",vs,Minnesota,,,
cha,"Wed, Mar 9",vs,New Orleans,,,
cha,"Fri, Mar 11",vs,Detroit,,,
cha,"Sat, Mar 12",vs,Houston,,,
cha,"Mon, Mar 14",vs,Dallas,,,
cha,"Wed, Mar 16",vs,Orlando,,,
cha,"Thu, Mar 17",@,Miami,,,
cha,"Sat, Mar 19",vs,Denver,,,
cha,"Mon, Mar 21",vs,San Antonio,,,
cha,"Tue, Mar 22",@,Brooklyn,,,
cha,"Fri, Mar 25",@,Detroit,,,
cha,"Sat, Mar 26",@,Milwaukee,,,
cha,"Tue, Mar 29",@,Philadelphia,,,
cha,"Fri, Apr 1",vs,Philadelphia,,,
cha,"Sun, Apr 3",@,Cleveland,,,
cha,"Tue, Apr 5",@,Toronto,,,
cha,"Wed, Apr 6",@,NY Knicks,,,
cha,"Fri, Apr 8",vs,Brooklyn,,,
cha,"Sun, Apr 10",@,Washington,,,
cha,"Mon, Apr 11",@,Boston,,,
cha,"Wed, Apr 13",vs,Orlando,,,
