team,date,a/h,opponent,w/l,s,os
den,"Wed, Oct 28",@,Houston,W,105,85
den,"Fri, Oct 30",vs,Minnesota,L,78,95
den,"Sun, Nov 1",@,Oklahoma City,L,93,117
den,"Tue, Nov 3",@,Los Angeles,W,120,109
den,"Thu, Nov 5",vs,Utah,L,84,96
den,"Fri, Nov 6",@,Golden State,L,104,119
den,"Mon, Nov 9",vs,Portland,W,108,104
den,"Wed, Nov 11",vs,Milwaukee,W,103,102
den,"Fri, Nov 13",vs,Houston,W,107,98
den,"Sat, Nov 14",@,Phoenix,L,81,105
den,"Tue, Nov 17",@,New Orleans,W,115,98
den,"Wed, Nov 18",@,San Antonio,L,98,109
den,"Fri, Nov 20",vs,Phoenix,L,107,114
den,"Sun, Nov 22",vs,Golden State,L,105,118
den,"Tue, Nov 24",vs,Los Angeles,L,94,111
den,"Fri, Nov 27",vs,San Antonio,L,80,91
den,"Sat, Nov 28",@,Dallas,L,81,92
den,"Mon, Nov 30",@,Milwaukee,L,74,92
den,"Wed, Dec 2",@,Chicago,L,90,99
den,"Thu, Dec 3",@,Toronto,W,106,105
den,"Sat, Dec 5",@,Philadelphia,W,108,105
den,"Tue, Dec 8",vs,Orlando,L,74,85
den,"Fri, Dec 11",vs,Minnesota,W,111,108
den,"Mon, Dec 14",vs,Houston,W,114,108
den,"Tue, Dec 15",@,Minnesota,W,112,100
den,"Fri, Dec 18",@,Utah,L,88,97
den,"Sun, Dec 20",vs,New Orleans,L,125,130
den,"Tue, Dec 22",vs,Los Angeles,L,107,111
den,"Wed, Dec 23",@,Phoenix,W,104,96
den,"Sat, Dec 26",@,San Antonio,L,86,101
den,"Sun, Dec 27",@,Oklahoma City,L,112,122
den,"Tue, Dec 29",vs,Cleveland,L,87,93
den,"Wed, Dec 30",@,Portland,L,103,110
den,"Sat, Jan 2",@,Golden State,L,108,111
den,"Sun, Jan 3",vs,Portland,L,106,112
den,"Wed, Jan 6",@,Minnesota,W,78,74
den,"Fri, Jan 8",@,Memphis,L,84,91
den,"Sun, Jan 10",vs,Charlotte,W,95,92
den,"Wed, Jan 13",vs,Golden State,W,112,110
den,"Fri, Jan 15",vs,Miami,L,95,98
den,"Sun, Jan 17",vs,Indiana,W,129,126
den,"Tue, Jan 19",vs,Oklahoma City,L,104,110
den,"Thu, Jan 21",vs,Memphis,L,101,102
den,"Sat, Jan 23",vs,Detroit,W,104,101
den,"Mon, Jan 25",vs,Atlanta,L,105,119
den,"Wed, Jan 27",@,Boston,L,103,111
den,"Thu, Jan 28",@,Washington,W,117,113
den,"Sat, Jan 30",@,Indiana,L,105,109
den,"Mon, Feb 1",vs,Toronto,W,112,93
den,"Wed, Feb 3",@,Utah,L,81,85
den,"Fri, Feb 5",vs,Chicago,W,115,110
den,"Sun, Feb 7",@,NY Knicks,W,101,96
den,"Mon, Feb 8",@,Brooklyn,L,104,105
den,"Wed, Feb 10",@,Detroit,W,103,92
den,"Fri, Feb 19",@,Sacramento,L,110,116
den,"Sun, Feb 21",vs,Boston,L,101,121
den,"Tue, Feb 23",vs,Sacramento,L,110,114
den,"Wed, Feb 24",@,Los Angeles,W,87,81
den,"Fri, Feb 26",@,Dallas,L,116,122
den,"Mon, Feb 29",,,,,
den,"Wed, Mar 2",vs,Los Angeles,,,
den,"Fri, Mar 4",vs,Brooklyn,,,
den,"Sun, Mar 6",vs,Dallas,,,
den,"Tue, Mar 8",vs,NY Knicks,,,
den,"Thu, Mar 10",vs,Phoenix,,,
den,"Sat, Mar 12",vs,Washington,,,
den,"Mon, Mar 14",@,Miami,,,
den,"Tue, Mar 15",@,Orlando,,,
den,"Thu, Mar 17",@,Atlanta,,,
den,"Sat, Mar 19",@,Charlotte,,,
den,"Mon, Mar 21",@,Cleveland,,,
den,"Wed, Mar 23",vs,Philadelphia,,,
den,"Fri, Mar 25",@,Los Angeles,,,
den,"Sun, Mar 27",@,Los Angeles,,,
den,"Mon, Mar 28",vs,Dallas,,,
den,"Wed, Mar 30",@,Memphis,,,
den,"Thu, Mar 31",@,New Orleans,,,
den,"Sat, Apr 2",vs,Sacramento,,,
den,"Tue, Apr 5",vs,Oklahoma City,,,
den,"Fri, Apr 8",vs,San Antonio,,,
den,"Sun, Apr 10",vs,Utah,,,
den,"Wed, Apr 13",@,Portland,,,
