team,date,a/h,opponent,w/l,s,os
hou,"Wed, Oct 28",vs,Denver,L,85,105
hou,"Fri, Oct 30",vs,Golden State,L,92,112
hou,"Sun, Nov 1",@,Miami,L,89,109
hou,"Mon, Nov 2",vs,Oklahoma City,W,110,105
hou,"Wed, Nov 4",vs,Orlando,W,119,114
hou,"Fri, Nov 6",@,Sacramento,W,116,110
hou,"Sat, Nov 7",@,Los Angeles,W,109,105
hou,"Wed, Nov 11",vs,Brooklyn,L,98,106
hou,"Fri, Nov 13",@,Denver,L,98,107
hou,"Sat, Nov 14",vs,Dallas,L,98,110
hou,"Mon, Nov 16",vs,Boston,L,95,111
hou,"Wed, Nov 18",vs,Portland,W,108,103
hou,"Fri, Nov 20",@,Memphis,L,84,96
hou,"Sat, Nov 21",vs,NY Knicks,L,102,107
hou,"Wed, Nov 25",vs,Memphis,L,93,102
hou,"Fri, Nov 27",vs,Philadelphia,W,116,114
hou,"Sun, Nov 29",@,NY Knicks,W,116,111
hou,"Mon, Nov 30",@,Detroit,L,105,116
hou,"Wed, Dec 2",vs,New Orleans,W,108,101
hou,"Fri, Dec 4",@,Dallas,W,100,96
hou,"Sat, Dec 5",vs,Sacramento,W,120,113
hou,"Tue, Dec 8",@,Brooklyn,L,105,110
hou,"Wed, Dec 9",@,Washington,W,109,103
hou,"Sat, Dec 12",vs,Los Angeles,W,126,97
hou,"Mon, Dec 14",@,Denver,L,108,114
hou,"Tue, Dec 15",@,Sacramento,L,97,107
hou,"Thu, Dec 17",@,Los Angeles,W,107,87
hou,"Sat, Dec 19",vs,Los Angeles,W,107,97
hou,"Mon, Dec 21",vs,Charlotte,W,102,95
hou,"Wed, Dec 23",@,Orlando,L,101,104
hou,"Fri, Dec 25",vs,San Antonio,W,88,84
hou,"Sat, Dec 26",@,New Orleans,L,108,110
hou,"Tue, Dec 29",vs,Atlanta,L,115,121
hou,"Thu, Dec 31",vs,Golden State,L,110,114
hou,"Sat, Jan 2",@,San Antonio,L,103,121
hou,"Mon, Jan 4",@,Utah,W,93,91
hou,"Thu, Jan 7",vs,Utah,W,103,94
hou,"Sun, Jan 10",vs,Indiana,W,107,103
hou,"Tue, Jan 12",@,Memphis,W,107,91
hou,"Wed, Jan 13",vs,Minnesota,W,107,104
hou,"Fri, Jan 15",vs,Cleveland,L,77,91
hou,"Sun, Jan 17",@,Los Angeles,W,112,95
hou,"Mon, Jan 18",@,Los Angeles,L,132,140
hou,"Wed, Jan 20",vs,Detroit,L,114,123
hou,"Fri, Jan 22",vs,Milwaukee,W,102,98
hou,"Sun, Jan 24",vs,Dallas,W,115,104
hou,"Mon, Jan 25",@,New Orleans,W,112,111
hou,"Wed, Jan 27",@,San Antonio,L,99,130
hou,"Fri, Jan 29",@,Oklahoma City,L,108,116
hou,"Sat, Jan 30",vs,Washington,L,122,123
hou,"Tue, Feb 2",vs,Miami,W,115,102
hou,"Thu, Feb 4",@,Phoenix,W,111,105
hou,"Sat, Feb 6",vs,Portland,L,79,96
hou,"Tue, Feb 9",@,Golden State,L,110,123
hou,"Wed, Feb 10",@,Portland,L,103,116
hou,"Fri, Feb 19",@,Phoenix,W,116,100
hou,"Tue, Feb 23",@,Utah,L,114,117
hou,"Thu, Feb 25",@,Portland,W,119,105
hou,"Sat, Feb 27",vs,San Antonio,L,94,104
hou,"Mon, Feb 29",,,,,
hou,"Wed, Mar 2",vs,New Orleans,,,
hou,"Sat, Mar 5",@,Chicago,,,
hou,"Sun, Mar 6",@,Toronto,,,
hou,"Wed, Mar 9",@,Philadelphia,,,
hou,"Fri, Mar 11",@,Boston,,,
hou,"Sat, Mar 12",@,Charlotte,,,
hou,"Mon, Mar 14",vs,Memphis,,,
hou,"Wed, Mar 16",vs,Los Angeles,,,
hou,"Fri, Mar 18",vs,Minnesota,,,
hou,"Sat, Mar 19",@,Atlanta,,,
hou,"Tue, Mar 22",@,Oklahoma City,,,
hou,"Wed, Mar 23",vs,Utah,,,
hou,"Fri, Mar 25",vs,Toronto,,,
hou,"Sun, Mar 27",@,Indiana,,,
hou,"Tue, Mar 29",@,Cleveland,,,
hou,"Thu, Mar 31",vs,Chicago,,,
hou,"Sun, Apr 3",vs,Oklahoma City,,,
hou,"Wed, Apr 6",@,Dallas,,,
hou,"Thu, Apr 7",vs,Phoenix,,,
hou,"Sun, Apr 10",vs,Los Angeles,,,
hou,"Mon, Apr 11",@,Minnesota,,,
hou,"Wed, Apr 13",vs,Sacramento,,,
