team,date,a/h,opponent,w/l,s,os
ind,"Wed, Oct 28",@,Toronto,L,99,106
ind,"Thu, Oct 29",vs,Memphis,L,103,112
ind,"Sat, Oct 31",vs,Utah,L,76,97
ind,"Tue, Nov 3",@,Detroit,W,94,82
ind,"Wed, Nov 4",vs,Boston,W,100,98
ind,"Fri, Nov 6",vs,Miami,W,90,87
ind,"Sun, Nov 8",@,Cleveland,L,97,101
ind,"Mon, Nov 9",vs,Orlando,W,97,84
ind,"Wed, Nov 11",@,Boston,W,102,91
ind,"Fri, Nov 13",vs,Minnesota,W,107,103
ind,"Mon, Nov 16",@,Chicago,L,95,96
ind,"Wed, Nov 18",@,Philadelphia,W,112,85
ind,"Sat, Nov 21",vs,Milwaukee,W,123,86
ind,"Tue, Nov 24",@,Washington,W,123,106
ind,"Fri, Nov 27",vs,Chicago,W,104,92
ind,"Sun, Nov 29",@,Los Angeles,W,107,103
ind,"Wed, Dec 2",@,Los Angeles,W,103,91
ind,"Thu, Dec 3",@,Portland,L,111,123
ind,"Sat, Dec 5",@,Utah,L,119,122
ind,"Tue, Dec 8",vs,Golden State,L,123,131
ind,"Fri, Dec 11",vs,Miami,W,96,83
ind,"Sat, Dec 12",@,Detroit,L,96,118
ind,"Mon, Dec 14",vs,Toronto,W,106,90
ind,"Wed, Dec 16",vs,Dallas,W,107,81
ind,"Fri, Dec 18",vs,Brooklyn,W,104,97
ind,"Sat, Dec 19",@,Memphis,L,84,96
ind,"Mon, Dec 21",@,San Antonio,L,92,106
ind,"Wed, Dec 23",vs,Sacramento,L,106,108
ind,"Sat, Dec 26",@,Minnesota,W,102,88
ind,"Mon, Dec 28",vs,Atlanta,W,93,87
ind,"Wed, Dec 30",@,Chicago,L,100,102
ind,"Thu, Dec 31",vs,Milwaukee,L,116,120
ind,"Sat, Jan 2",vs,Detroit,W,94,82
ind,"Mon, Jan 4",@,Miami,L,100,103
ind,"Wed, Jan 6",@,Orlando,W,95,86
ind,"Fri, Jan 8",@,New Orleans,W,91,86
ind,"Sun, Jan 10",@,Houston,L,103,107
ind,"Tue, Jan 12",vs,Phoenix,W,116,97
ind,"Wed, Jan 13",@,Boston,L,94,103
ind,"Fri, Jan 15",vs,Washington,L,104,118
ind,"Sun, Jan 17",@,Denver,L,126,129
ind,"Tue, Jan 19",@,Phoenix,W,97,94
ind,"Fri, Jan 22",@,Golden State,L,110,122
ind,"Sat, Jan 23",@,Sacramento,L,97,108
ind,"Tue, Jan 26",vs,Los Angeles,L,89,91
ind,"Thu, Jan 28",vs,Atlanta,W,111,92
ind,"Sat, Jan 30",vs,Denver,W,109,105
ind,"Mon, Feb 1",vs,Cleveland,L,106,111
ind,"Wed, Feb 3",@,Brooklyn,W,114,100
ind,"Fri, Feb 5",@,Atlanta,L,96,102
ind,"Sat, Feb 6",vs,Detroit,W,112,104
ind,"Mon, Feb 8",vs,Los Angeles,W,89,87
ind,"Wed, Feb 10",vs,Charlotte,L,95,117
ind,"Fri, Feb 19",@,Oklahoma City,W,101,98
ind,"Sun, Feb 21",@,Orlando,W,105,102
ind,"Mon, Feb 22",@,Miami,L,93,101
ind,"Wed, Feb 24",vs,NY Knicks,W,108,105
ind,"Fri, Feb 26",vs,Charlotte,L,95,96
ind,"Sun, Feb 28",vs,Portland,L,102,111
ind,"Mon, Feb 29",,,,,
ind,"Wed, Mar 2",@,Milwaukee,,,
ind,"Fri, Mar 4",@,Charlotte,,,
ind,"Sat, Mar 5",@,Washington,,,
ind,"Mon, Mar 7",vs,San Antonio,,,
ind,"Sat, Mar 12",@,Dallas,,,
ind,"Sun, Mar 13",@,Atlanta,,,
ind,"Tue, Mar 15",vs,Boston,,,
ind,"Thu, Mar 17",vs,Toronto,,,
ind,"Sat, Mar 19",vs,Oklahoma City,,,
ind,"Mon, Mar 21",vs,Philadelphia,,,
ind,"Thu, Mar 24",vs,New Orleans,,,
ind,"Sat, Mar 26",@,Brooklyn,,,
ind,"Sun, Mar 27",vs,Houston,,,
ind,"Tue, Mar 29",vs,Chicago,,,
ind,"Thu, Mar 31",vs,Orlando,,,
ind,"Sat, Apr 2",@,Philadelphia,,,
ind,"Sun, Apr 3",@,NY Knicks,,,
ind,"Wed, Apr 6",vs,Cleveland,,,
ind,"Fri, Apr 8",@,Toronto,,,
ind,"Sun, Apr 10",vs,Brooklyn,,,
ind,"Tue, Apr 12",vs,NY Knicks,,,
ind,"Wed, Apr 13",@,Milwaukee,,,
